Track_ID,_TargetID,_Day,_Trial,_Arena,Strain,Probe,strategy,name,confidence,1,2,3,4,5,6,7,8,9,path.length,total.time,velocity,distance.from.goal,distance.from.old.goal,initial.heading.error,initial.trajectory.error,initial.reversal.error,efficiency,roaming.entropy,latency.to.goal,latency.to.old.goal,time.in.wall.zone,time.in.far.wall.zone,time.in.annulus.zone,time.in.goal.zone,time.in.old.goal.zone,time.in.n.quadrant,time.in.e.quadrant,time.in.s.quadrant,time.in.w.quadrant,goal.crossings,old.goal.crossings,CIPL_Scores,Date,Age(months),Phase
Track_816_2m ,12_2m ,6,35,Arena_Reversal,OVX,FALSE,7,corrected path,0.429230769,0.052307692,0.007692308,0.018461538,0.02,0.02,0.215384615,0.429230769,0.235384615,0.001538462,247.2446228,2.832,88.33310493,84.40292105,258.8850547,44.99464574,101.832893,226.9859623,0,0.612450398,2.832,,2.124,0.59,0.118,0.118,0,2.478,0,0,0.354,1,0,0.52,,2,Reversal
Track_817_2m ,13_2m ,6,34,Arena_Reversal,OVX,FALSE,8,direct path,0.427692308,0,0.001538462,0.001538462,0.021538462,0.003076923,0.163076923,0.378461538,0.427692308,0.003076923,263.0331997,3.648,76.9619757,118.2834996,128.0927117,6.886748302,52.20327631,122.9944965,56,0.61505102,3.648,,0,1.3376,0.608,0.1216,0,1.0944,0,0,2.5536,1,0,0.63,,2,Reversal
Track_818_2m ,13_2m ,6,35,Arena_Reversal,OVX,FALSE,6,directed search,0.447692308,0,0.003076923,0.001538462,0.08,0.036923077,0.447692308,0.352307692,0.070769231,0.007692308,594.9604072,7.072,90.5152499,89.98761542,132.9496949,6.229331907,54.40099338,114.2078152,96,0.737174144,7.072,,0.487724138,1.950896552,2.194758621,0.121931034,0,2.682482759,4.389517241,0,0,1,0,1.68,,2,Reversal
Track_819_2m ,14_2m ,6,34,Arena_Reversal,SHAM,FALSE,4,scanning,0.473846154,0.001538462,0.012307692,0.016923077,0.473846154,0.143076923,0.215384615,0.006153846,0.001538462,0.129230769,1614.076064,20.931,77.80033549,150.1698032,71.14105429,25.02583604,180.8026965,36.69103446,33.33333333,0.838788681,20.931,,2.325666667,3.549701754,5.630561404,0.122403509,0,2.325666667,6.854596491,7.589017544,4.161719298,1,0,11.67,,2,Reversal
Track_820_2m ,14_2m ,6,35,Arena_Reversal,SHAM,FALSE,8,direct path,0.506153846,0,0.007692308,0,0.016923077,0.003076923,0.123076923,0.341538462,0.506153846,0.001538462,184.7589571,2.304,83.06321523,43.77716585,204.4759477,9.801808733,32.24084523,225.6451066,64.28571429,0.578930441,2.304,,0.3456,1.152,0.8064,0.1152,0,1.6128,0.6912,0,0,1,0,0.11,,2,Reversal
Track_821_2m ,15_2m ,6,34,Arena_Reversal,SHAM,FALSE,7,corrected path,0.433846154,0.001538462,0.001538462,0.004615385,0.063076923,0.093846154,0.352307692,0.433846154,0.04,0.009230769,571.0059315,6.161,102.5237841,68.74837681,175.6779471,33.78138278,64.01168369,30.80883061,19.04761905,0.711985669,6.161,0.896,1.97152,1.60186,1.10898,0.12322,0.36966,3.81982,0,1.8483,0.49288,1,1,1,,2,Reversal
Track_822_2m ,15_2m ,6,35,Arena_Reversal,SHAM,FALSE,8,direct path,0.450769231,0,0.003076923,0,0.02,0.003076923,0.130769231,0.389230769,0.450769231,0.003076923,165.9386897,1.695,109.667862,65.92921172,185.7372275,12.95327986,20.62144758,209.0030959,53.33333333,0.553775154,1.695,,0,0.7415625,0.9534375,0.1059375,0,0.8475,0,0,0.8475,1,0,0.08,,2,Reversal
Track_823_2m ,16_2m ,6,34,Arena_Reversal,SHAM,FALSE,7,corrected path,0.481538462,0.003076923,0.003076923,0.003076923,0.035384615,0.010769231,0.24,0.481538462,0.212307692,0.010769231,318.7126793,3.808,84.17988489,124.2129453,76.64454697,47.70780622,92.89065638,27.20863974,26.08695652,0.644645807,3.808,,0.230787879,0.923151515,0.461575758,0.115393939,0,0.923151515,0.807757576,2.077090909,0,1,0,0.88,,2,Reversal
Track_824_2m ,16_2m ,6,35,Arena_Reversal,SHAM,FALSE,8,direct path,0.427692308,0,0.001538462,0,0.013846154,0.001538462,0.147692308,0.404615385,0.427692308,0.003076923,214.5189646,2.623,84.53003786,68.00166423,151.9895963,10.62348944,50.25247272,197.6795286,50,0.595733953,2.623,,0,0.456173913,1.710652174,0.114043478,0,1.140434783,0,0,1.482565217,1,0,0.24,,2,Reversal
Track_825_2m ,17_2m ,6,34,Arena_Reversal,SHAM,FALSE,7,corrected path,0.415384615,0,0.015384615,0.007692308,0.067692308,0.055384615,0.383076923,0.415384615,0.052307692,0.003076923,549.2711806,6.496,86.37715362,68.37699844,209.9184474,35.5896129,136.9691995,255.005899,0,0.720780173,6.496,,2.998153846,2.373538462,1.124307692,0.124923077,0,4.372307692,0,0,2.123692308,1,0,1.35,,2,Reversal
