Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : time (s),Q1 : distance (m),Q2 : time (s),Q2 : distance (m),Q3 : time (s),Q3 : distance (m),Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
322,11,NSF,A,Spatial,12,Pool,7.0,2.288,0.328,0.373,4.4,1.565,2.6,0.722,0.0,0.000,0.0,0.000,1,1.17
323,12,NSF,A,Spatial,11,Pool,7.1,2.526,0.354,0.332,4.9,1.702,2.2,0.824,0.0,0.000,0.0,0.000,1,1.40
324,12,NSF,A,Spatial,12,Pool,9.0,6.762,0.748,0.071,6.5,4.501,0.0,0.000,0.0,0.000,2.5,2.260,1,3.10
325,13,NSF,A,Spatial,11,Pool,24.7,7.287,0.295,0.170,6.4,1.842,7.7,2.313,7.4,1.821,3.2,1.311,1,15.76
326,13,NSF,A,Spatial,12,Pool,60.0,21.334,0.356,0.064,16.6,5.278,15.5,5.613,13.0,5.252,14.9,5.192,0,
327,14,NSF,A,Spatial,11,Pool,60.0,17.231,0.287,0.036,10.8,3.124,6.5,2.532,17.3,3.848,25.4,7.725,0,
328,14,NSF,A,Spatial,12,Pool,60.0,17.682,0.295,0.017,14.0,4.451,22.1,6.182,15.6,4.398,8.3,2.652,0,
329,15,NSF,A,Spatial,11,Pool,2.0,0.459,0.227,0.920,2.0,0.459,0.0,0.000,0.0,0.000,0.0,0.000,1,0.05
330,15,NSF,A,Spatial,12,Pool,15.8,5.896,0.374,0.192,2.0,0.679,2.1,1.025,3.9,1.465,7.8,2.726,1,11.03
331,16,NSF,A,Spatial,11,Pool,11.7,2.869,0.245,0.406,6.9,1.609,1.5,0.192,3.2,1.068,0.0,0.000,1,2.69
332,16,NSF,A,Spatial,12,Pool,4.2,1.253,0.300,0.572,1.2,0.333,3.0,0.920,0.0,0.000,0.0,0.000,1,1.15
333,17,NSF,A,Spatial,11,Pool,13.3,4.556,0.344,0.107,5.9,1.846,3.3,1.253,1.7,0.635,2.3,0.822,1,6.34
334,17,NSF,A,Spatial,12,Pool,8.5,2.858,0.335,0.268,4.4,1.465,4.2,1.393,0.0,0.000,0.0,0.000,1,2.48
335,18,NSF,A,Spatial,11,Pool,60.0,17.307,0.288,0.093,25.8,6.411,6.1,2.012,9.1,3.140,19.0,5.744,0,
336,18,NSF,A,Spatial,12,Pool,54.3,15.139,0.279,0.061,39.2,11.033,6.7,1.742,0.0,0.000,8.4,2.364,1,17.96
337,19,NSF,A,Spatial,11,Pool,29.3,11.215,0.382,0.065,4.1,1.625,6.1,2.389,9.2,3.636,9.8,3.566,1,23.01
338,19,NSF,A,Spatial,12,Pool,17.8,6.673,0.374,0.169,4.5,1.576,4.5,1.889,5.8,2.289,2.9,0.919,1,11.17
339,20,NSF,A,Spatial,11,Pool,5.0,1.245,0.250,0.764,1.3,0.317,0.0,0.000,0.0,0.000,3.6,0.929,1,1.07
340,20,NSF,A,Spatial,12,Pool,32.6,11.701,0.358,0.085,7.2,2.544,11.2,4.212,10.4,3.338,3.9,1.607,1,22.66
341,21,NSF,A,Spatial,11,Pool,19.7,6.473,0.329,0.142,8.9,2.794,2.0,0.629,3.5,1.121,5.3,1.929,1,8.67
342,21,NSF,A,Spatial,12,Pool,8.1,2.991,0.371,0.319,0.9,0.247,1.8,0.524,3.1,1.241,2.3,0.979,1,5.71
343,22,NSF,A,Spatial,11,Pool,9.9,3.344,0.338,0.168,0.9,0.251,0.0,0.000,2.7,1.001,6.3,2.092,1,6.34
344,22,NSF,A,Spatial,12,Pool,3.1,1.137,0.366,0.922,1.0,0.352,0.0,0.000,1.9,0.715,0.2,0.070,1,0.23
345,23,NSF,A,Spatial,11,Pool,10.5,3.700,0.352,0.205,6.9,2.401,0.0,0.000,0.0,0.000,3.6,1.298,1,2.81
346,23,NSF,A,Spatial,12,Pool,10.1,3.688,0.365,0.280,3.7,1.100,1.5,0.506,2.8,1.179,2.0,0.904,1,5.40
347,24,NSF,A,Spatial,11,Pool,31.1,9.714,0.312,0.128,5.4,1.538,16.7,4.938,6.7,2.249,2.3,0.990,1,17.93
348,24,NSF,A,Spatial,12,Pool,6.1,1.769,0.292,0.391,4.5,1.308,1.5,0.462,0.0,0.000,0.0,0.000,1,1.02
349,25,NSF,A,Spatial,11,Pool,37.0,11.831,0.320,0.085,6.5,1.842,18.8,5.984,7.5,2.490,4.3,1.514,1,23.04
350,25,NSF,A,Spatial,12,Pool,21.5,4.513,0.210,0.281,16.5,2.857,0.2,0.063,3.4,1.117,1.3,0.474,1,3.31
351,26,NSF,A,Spatial,11,Pool,15.8,5.544,0.350,0.092,4.9,1.559,3.7,1.277,3.9,1.340,3.3,1.369,1,11.59
352,26,NSF,A,Spatial,12,Pool,32.3,11.434,0.354,0.083,8.4,2.983,6.8,2.538,6.8,2.656,10.3,3.257,1,21.99
353,27,NSF,A,Spatial,11,Pool,60.0,17.800,0.297,0.062,12.1,3.861,11.2,3.322,16.2,4.681,20.5,5.936,0,
354,27,NSF,A,Spatial,12,Pool,10.9,3.209,0.295,0.261,3.7,0.951,7.1,2.257,0.0,0.000,0.0,0.000,1,4.62
355,28,NSF,A,Spatial,11,Pool,17.9,5.883,0.328,0.206,8.8,2.668,0.9,0.303,1.5,0.553,6.7,2.359,1,6.46
356,28,NSF,A,Spatial,12,Pool,31.5,9.143,0.290,0.101,24.5,6.872,7.0,2.271,0.0,0.000,0.0,0.000,1,9.53
357,29,NSF,A,Spatial,11,Pool,2.1,0.634,0.308,0.899,2.0,0.634,0.0,0.000,0.0,0.000,0.0,0.000,1,0.15
358,29,NSF,A,Spatial,12,Pool,6.3,2.438,0.385,0.468,1.3,0.407,0.8,0.359,4.2,1.672,0.0,0.000,1,3.38
359,30,NSF,A,Spatial,11,Pool,13.1,4.905,0.374,0.113,8.3,2.772,0.0,0.000,0.0,0.000,4.8,2.133,1,5.27
360,30,NSF,A,Spatial,12,Pool,6.5,2.247,0.344,0.434,2.7,0.803,0.0,0.000,0.0,0.000,3.8,1.443,1,1.66
361,1,NSF,A,Spatial,13,Pool,8.8,2.386,0.271,0.350,4.3,1.053,4.5,1.333,0.0,0.000,0.0,0.000,1,2.91
362,1,NSF,A,Spatial,14,Pool,9.4,2.997,0.320,0.433,3.7,1.119,3.6,1.123,2.0,0.754,0.0,0.000,1,3.00
363,2,NSF,A,Spatial,13,Pool,60.0,13.720,0.229,0.089,3.1,1.131,36.7,7.503,17.2,4.446,3.1,0.640,0,
364,2,NSF,A,Spatial,14,Pool,60.0,15.745,0.262,0.064,22.3,6.182,23.7,6.169,8.1,2.152,6.0,1.242,0,
365,3,NSF,A,Spatial,13,Pool,27.4,8.052,0.294,0.066,20.6,5.318,2.4,0.948,0.0,0.000,4.3,1.786,1,9.84
366,3,NSF,A,Spatial,14,Pool,7.7,2.171,0.280,0.234,5.2,1.326,2.5,0.845,0.0,0.000,0.0,0.000,1,2.17
367,4,NSF,A,Spatial,13,Pool,56.2,11.872,0.211,0.075,9.6,1.910,35.9,7.427,7.9,1.799,2.8,0.735,1,42.72
368,4,NSF,A,Spatial,14,Pool,9.5,2.126,0.224,0.569,0.9,0.287,4.1,1.173,4.4,0.666,0.0,0.000,1,5.18
369,5,NSF,A,Spatial,13,Pool,2.7,0.678,0.251,0.777,2.7,0.678,0.0,0.000,0.0,0.000,0.0,0.000,1,0.21
370,5,NSF,A,Spatial,14,Pool,8.9,2.898,0.327,0.454,5.1,1.642,0.5,0.074,1.9,0.586,1.3,0.596,1,1.72
371,6,NSF,A,Spatial,13,Pool,14.5,4.568,0.316,0.268,7.9,2.345,2.9,1.128,3.7,1.096,0.0,0.000,1,5.67
372,6,NSF,A,Spatial,14,Pool,2.3,0.765,0.335,0.965,0.9,0.316,0.0,0.000,0.0,0.000,1.3,0.450,1,0.08
373,7,NSF,A,Spatial,13,Pool,4.5,1.339,0.295,0.635,3.2,0.905,1.3,0.435,0.0,0.000,0.0,0.000,1,0.53
374,7,NSF,A,Spatial,14,Pool,4.6,1.612,0.351,0.728,1.5,0.410,0.4,0.166,2.7,1.037,0.0,0.000,1,0.85
375,8,NSF,A,Spatial,13,Pool,60.0,16.524,0.275,0.086,19.4,4.317,10.1,3.356,16.0,5.033,14.5,3.818,0,
376,8,NSF,A,Spatial,14,Pool,24.2,7.417,0.307,0.078,10.8,2.777,2.9,1.206,3.7,1.279,6.7,2.154,1,14.05
377,9,NSF,A,Spatial,13,Pool,60.0,16.657,0.278,0.044,11.1,3.462,13.9,4.478,23.1,5.693,12.0,3.024,0,
378,9,NSF,A,Spatial,14,Pool,12.6,3.634,0.287,0.366,1.6,0.435,3.1,1.049,8.0,2.151,0.0,0.000,1,8.52
