Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : time (s),Q1 : distance (m),Q2 : time (s),Q2 : distance (m),Q3 : time (s),Q3 : distance (m),Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
468,24,NSF,A,Spatial,16,Pool,6.2,2.207,0.357,0.484,2.4,0.763,2.3,1.045,1.5,0.400,0.0,0.000,1,2.32
469,25,NSF,A,Spatial,15,Pool,11.3,4.477,0.398,0.290,5.6,2.310,3.9,1.508,1.8,0.660,0.0,0.000,1,3.11
470,25,NSF,A,Spatial,16,Pool,11.1,4.126,0.371,0.223,3.6,1.263,0.0,0.000,0.0,0.000,7.5,2.863,1,4.74
471,26,NSF,A,Spatial,15,Pool,15.4,5.079,0.330,0.196,2.5,0.871,4.4,1.589,4.0,1.261,4.4,1.359,1,10.21
472,26,NSF,A,Spatial,16,Pool,15.6,5.606,0.360,0.232,4.4,1.515,4.5,1.689,3.2,1.231,3.5,1.171,1,6.96
473,27,NSF,A,Spatial,15,Pool,1.9,0.562,0.296,0.982,0.9,0.343,0.0,0.000,0.0,0.000,1.0,0.218,1,0.09
474,27,NSF,A,Spatial,16,Pool,1.8,0.468,0.254,0.838,1.8,0.468,0.0,0.000,0.0,0.000,0.0,0.000,1,0.05
475,28,NSF,A,Spatial,15,Pool,60.0,18.695,0.312,0.066,23.2,7.450,5.5,1.537,16.7,4.424,14.6,5.283,0,
476,28,NSF,A,Spatial,16,Pool,2.3,0.648,0.280,0.824,2.3,0.648,0.0,0.000,0.0,0.000,0.0,0.000,1,0.11
477,29,NSF,A,Spatial,15,Pool,7.4,2.557,0.346,0.366,2.0,0.690,3.9,1.514,0.4,0.081,1.1,0.272,1,3.03
478,29,NSF,A,Spatial,16,Pool,13.9,4.894,0.352,0.264,11.6,3.895,0.0,0.000,2.3,0.999,0.0,0.000,1,2.32
479,30,NSF,A,Spatial,15,Pool,5.3,2.071,0.389,0.470,0.9,0.293,0.0,0.000,2.7,1.102,1.7,0.675,1,2.99
480,30,NSF,A,Spatial,16,Pool,20.8,7.702,0.371,0.163,17.1,6.232,0.9,0.462,1.4,0.540,1.3,0.468,1,4.70
481,1,NSF,A,Spatial,17,Pool,8.3,2.493,0.299,0.461,2.4,0.746,1.3,0.568,2.8,0.763,1.7,0.416,1,2.69
482,1,NSF,A,Spatial,18,Pool,1.7,0.486,0.288,0.835,1.7,0.486,0.0,0.000,0.0,0.000,0.0,0.000,1,0.12
483,2,NSF,A,Spatial,17,Pool,9.1,3.131,0.346,0.177,4.3,1.480,4.8,1.651,0.0,0.000,0.0,0.000,1,3.84
484,2,NSF,A,Spatial,18,Pool,10.7,3.869,0.361,0.301,7.8,2.734,2.4,0.943,0.0,0.000,0.4,0.192,1,2.62
485,3,NSF,A,Spatial,17,Pool,7.5,2.170,0.289,0.309,6.4,1.793,1.1,0.377,0.0,0.000,0.0,0.000,1,1.55
486,3,NSF,A,Spatial,18,Pool,8.5,2.973,0.350,0.409,1.2,0.320,1.1,0.440,1.7,0.640,4.5,1.573,1,3.10
487,4,NSF,A,Spatial,17,Pool,37.2,8.455,0.227,0.118,10.3,2.936,24.1,4.511,1.1,0.434,1.7,0.574,1,18.12
488,4,NSF,A,Spatial,18,Pool,6.9,1.710,0.249,0.670,2.5,0.615,4.3,1.095,0.0,0.000,0.0,0.000,1,1.56
489,5,NSF,A,Spatial,17,Pool,10.2,3.592,0.353,0.252,3.3,1.149,0.0,0.000,2.1,0.791,4.7,1.653,1,5.02
490,5,NSF,A,Spatial,18,Pool,5.9,1.752,0.295,0.422,4.4,1.295,1.5,0.457,0.0,0.000,0.0,0.000,1,0.80
491,6,NSF,A,Spatial,17,Pool,8.9,3.003,0.337,0.108,7.0,2.202,0.0,0.000,0.0,0.000,1.9,0.800,1,2.52
492,6,NSF,A,Spatial,18,Pool,6.4,2.401,0.376,0.505,3.2,1.205,2.8,1.196,0.3,0.000,0.0,0.000,1,1.44
493,7,NSF,A,Spatial,17,Pool,4.2,1.417,0.341,0.524,3.1,1.096,1.1,0.322,0.0,0.000,0.0,0.000,1,0.56
494,7,NSF,A,Spatial,18,Pool,2.6,0.949,0.363,0.911,0.9,0.321,0.0,0.000,0.0,0.000,1.7,0.628,1,0.12
495,8,NSF,A,Spatial,17,Pool,8.2,2.750,0.337,0.390,4.0,1.339,3.2,1.278,0.9,0.133,0.0,0.000,1,2.88
496,8,NSF,A,Spatial,18,Pool,7.2,2.360,0.329,0.495,1.1,0.278,3.2,1.030,2.9,1.052,0.0,0.000,1,3.64
497,9,NSF,A,Spatial,17,Pool,60.0,20.317,0.339,0.048,12.4,3.733,7.4,2.903,11.8,4.449,28.4,9.231,0,
498,9,NSF,A,Spatial,18,Pool,60.0,17.833,0.297,0.073,19.2,4.870,14.3,4.374,8.1,2.362,18.3,6.226,0,
499,10,NSF,A,Spatial,17,Pool,2.8,0.991,0.356,0.642,0.8,0.266,0.0,0.000,0.0,0.000,2.0,0.725,1,0.60
500,10,NSF,A,Spatial,18,Pool,5.3,1.770,0.331,0.555,2.0,0.619,0.0,0.000,0.9,0.148,2.4,1.003,1,1.31
501,11,NSF,A,Spatial,17,Pool,8.3,2.693,0.323,0.346,4.6,1.530,0.6,0.110,1.7,0.586,1.4,0.467,1,2.11
502,11,NSF,A,Spatial,18,Pool,1.8,0.425,0.243,0.863,1.7,0.425,0.0,0.000,0.0,0.000,0.0,0.000,1,0.03
503,12,NSF,A,Spatial,17,Pool,38.7,14.075,0.364,0.039,17.9,6.316,5.9,2.408,6.7,2.569,8.1,2.782,1,21.22
504,12,NSF,A,Spatial,18,Pool,5.4,1.679,0.313,0.479,4.3,1.327,1.1,0.352,0.0,0.000,0.0,0.000,1,0.95
505,13,NSF,A,Spatial,17,Pool,26.4,8.547,0.324,0.109,4.5,1.398,13.1,4.101,7.7,2.589,1.1,0.460,1,18.41
506,13,NSF,A,Spatial,18,Pool,60.0,17.173,0.286,0.035,16.1,4.193,18.8,4.999,14.6,4.276,10.5,3.705,0,
507,14,NSF,A,Spatial,17,Pool,35.3,12.194,0.346,0.051,6.9,1.922,9.5,3.735,11.1,3.681,7.8,2.856,1,26.62
508,14,NSF,A,Spatial,18,Pool,60.0,18.750,0.312,0.073,17.1,5.532,16.0,4.822,12.7,3.804,14.3,4.592,0,
509,15,NSF,A,Spatial,17,Pool,10.1,3.547,0.353,0.117,5.1,1.661,1.1,0.381,0.5,0.214,3.3,1.291,1,3.76
510,15,NSF,A,Spatial,18,Pool,60.0,22.768,0.379,0.035,22.9,8.111,11.0,4.336,11.6,4.647,14.5,5.674,0,
511,16,NSF,A,Spatial,17,Pool,9.0,3.448,0.382,0.248,2.3,0.860,4.9,1.935,0.0,0.000,1.8,0.653,1,3.76
512,16,NSF,A,Spatial,18,Pool,2.9,1.048,0.363,0.811,0.9,0.303,1.9,0.745,0.0,0.000,0.0,0.000,1,0.44
513,17,NSF,A,Spatial,17,Pool,19.6,8.629,0.440,0.090,4.5,1.766,4.5,1.965,5.1,2.404,5.4,2.494,1,14.26
514,17,NSF,A,Spatial,18,Pool,4.6,1.728,0.377,0.648,2.0,0.770,2.6,0.959,0.0,0.000,0.0,0.000,1,1.12
515,18,NSF,A,Spatial,17,Pool,14.0,5.011,0.357,0.217,5.3,1.834,3.9,1.383,3.3,1.190,1.6,0.604,1,5.27
516,18,NSF,A,Spatial,18,Pool,3.6,1.113,0.313,0.796,2.1,0.583,1.4,0.530,0.0,0.000,0.0,0.000,1,0.11
517,19,NSF,A,Spatial,17,Pool,5.9,2.160,0.366,0.338,1.1,0.321,0.4,0.172,2.0,0.769,2.4,0.898,1,2.95
518,19,NSF,A,Spatial,18,Pool,14.7,5.161,0.352,0.198,2.2,0.681,0.0,0.000,2.5,0.838,10.0,3.642,1,7.16
519,20,NSF,A,Spatial,17,Pool,23.5,7.448,0.317,0.151,0.9,0.206,2.4,0.643,13.9,4.602,6.3,1.997,1,16.96
520,20,NSF,A,Spatial,18,Pool,12.3,3.817,0.310,0.167,5.1,1.494,5.2,1.655,0.0,0.000,2.0,0.668,1,4.88
521,21,NSF,A,Spatial,17,Pool,3.5,1.062,0.299,0.789,1.3,0.416,0.0,0.000,0.0,0.000,2.2,0.646,1,0.53
522,21,NSF,A,Spatial,18,Pool,21.9,7.407,0.338,0.043,13.6,4.460,4.0,1.297,0.3,0.088,4.1,1.562,1,7.10
523,22,NSF,A,Spatial,17,Pool,19.3,7.196,0.373,0.147,7.2,2.721,4.0,1.420,4.9,1.912,3.2,1.143,1,7.89
524,22,NSF,A,Spatial,18,Pool,12.1,4.047,0.334,0.196,4.9,1.474,4.0,1.431,2.5,0.954,0.7,0.187,1,4.85
525,23,NSF,A,Spatial,17,Pool,9.4,3.263,0.346,0.213,5.5,1.883,0.0,0.000,0.0,0.000,4.0,1.380,1,2.63
526,23,NSF,A,Spatial,18,Pool,3.4,1.193,0.349,0.921,1.2,0.387,2.2,0.806,0.0,0.000,0.0,0.000,1,0.19
527,24,NSF,A,Spatial,17,Pool,2.4,0.865,0.365,0.743,0.5,0.171,0.0,0.000,0.0,0.000,1.8,0.693,1,0.41
528,24,NSF,A,Spatial,18,Pool,3.6,1.424,0.396,0.823,0.9,0.297,0.0,0.000,2.1,0.887,0.5,0.240,1,0.57
529,25,NSF,A,Spatial,17,Pool,12.8,5.274,0.412,0.174,2.7,0.850,3.3,1.385,2.3,1.106,4.5,1.932,1,6.89
530,25,NSF,A,Spatial,18,Pool,7.3,2.597,0.357,0.442,3.6,1.083,0.0,0.000,2.1,0.922,1.6,0.592,1,1.68
531,26,NSF,A,Spatial,17,Pool,28.7,8.466,0.295,0.035,11.0,2.155,2.9,1.066,4.9,1.802,9.9,3.443,1,13.25
532,26,NSF,A,Spatial,18,Pool,1.8,0.536,0.293,0.994,0.9,0.262,0.0,0.000,0.0,0.000,0.9,0.274,1,0.01
533,27,NSF,A,Spatial,17,Pool,6.9,1.682,0.246,0.410,3.1,0.733,0.0,0.000,0.0,0.000,3.8,0.949,1,1.52
534,27,NSF,A,Spatial,18,Pool,16.9,6.075,0.360,0.181,2.9,0.955,1.2,0.477,4.7,1.750,8.0,2.894,1,8.80
535,28,NSF,A,Spatial,17,Pool,23.5,7.274,0.310,0.117,6.4,1.921,5.6,2.077,8.6,2.110,2.8,1.167,1,15.10
536,28,NSF,A,Spatial,18,Pool,4.2,1.314,0.314,0.402,4.2,1.314,0.0,0.000,0.0,0.000,0.0,0.000,1,0.53
537,29,NSF,A,Spatial,17,Pool,12.8,4.236,0.330,0.260,6.7,2.431,0.0,0.000,0.0,0.000,6.2,1.804,1,4.74
538,29,NSF,A,Spatial,18,Pool,23.9,8.446,0.354,0.146,6.7,2.343,5.4,2.100,9.8,3.528,2.0,0.475,1,13.53
539,30,NSF,A,Spatial,17,Pool,14.2,5.042,0.356,0.081,12.1,4.277,2.0,0.764,0.0,0.000,0.0,0.000,1,3.60
540,30,NSF,A,Spatial,18,Pool,8.1,2.616,0.322,0.404,5.7,1.814,0.0,0.000,0.0,0.000,2.4,0.802,1,1.37
541,1,NSF,A,Spatial,19,Pool,3.0,0.735,0.243,0.761,2.9,0.686,0.2,0.049,0.0,0.000,0.0,0.000,1,0.39
542,1,NSF,A,Spatial,20,Pool,4.3,1.236,0.290,0.333,4.2,1.236,0.0,0.000,0.0,0.000,0.0,0.000,1,0.74
543,2,NSF,A,Spatial,19,Pool,9.9,2.616,0.263,0.289,2.9,0.885,7.0,1.731,0.0,0.000,0.0,0.000,1,4.25
544,2,NSF,A,Spatial,20,Pool,11.7,3.950,0.337,0.233,10.0,3.409,0.0,0.000,0.0,0.000,1.7,0.542,1,2.46
545,3,NSF,A,Spatial,19,Pool,11.9,3.284,0.275,0.339,2.9,0.715,0.0,0.000,2.9,0.661,6.1,1.909,1,4.23
546,3,NSF,A,Spatial,20,Pool,4.4,1.421,0.327,0.787,2.0,0.546,0.3,0.000,2.0,0.875,0.0,0.000,1,0.28
547,4,NSF,A,Spatial,19,Pool,4.7,1.330,0.282,0.896,0.9,0.245,0.5,0.226,3.2,0.858,0.0,0.000,1,0.93
548,4,NSF,A,Spatial,20,Pool,19.8,6.384,0.322,0.084,10.0,2.739,2.7,1.138,3.2,1.080,3.9,1.428,1,11.49
549,5,NSF,A,Spatial,19,Pool,60.0,18.732,0.312,0.033,8.6,2.920,2.7,1.104,5.0,1.721,43.7,12.987,0,
550,5,NSF,A,Spatial,20,Pool,36.0,12.353,0.343,0.064,11.3,3.961,8.5,2.893,3.7,1.272,12.4,4.226,1,17.63
551,6,NSF,A,Spatial,19,Pool,12.5,3.614,0.290,0.253,3.6,1.065,8.5,2.442,0.4,0.107,0.0,0.000,1,5.51
552,6,NSF,A,Spatial,20,Pool,5.5,2.102,0.386,0.509,3.7,1.446,0.0,0.000,0.0,0.000,1.7,0.656,1,0.99
553,7,NSF,A,Spatial,19,Pool,2.7,0.933,0.343,0.657,0.8,0.268,0.0,0.000,0.0,0.000,1.9,0.665,1,0.54
554,7,NSF,A,Spatial,20,Pool,10.5,3.728,0.355,0.134,5.2,1.687,5.3,2.041,0.0,0.000,0.0,0.000,1,4.30
555,8,NSF,A,Spatial,19,Pool,53.0,16.314,0.308,0.078,23.2,7.267,8.8,2.337,12.2,3.851,8.8,2.859,1,29.84
556,8,NSF,A,Spatial,20,Pool,12.0,3.937,0.328,0.235,7.8,2.665,2.3,0.691,0.0,0.000,1.9,0.580,1,3.23
557,9,NSF,A,Spatial,19,Pool,60.0,17.476,0.291,0.090,31.6,8.418,8.0,2.678,4.4,1.567,16.0,4.813,0,
558,9,NSF,A,Spatial,20,Pool,52.7,14.436,0.274,0.066,18.1,4.771,2.4,0.794,10.1,2.911,22.0,5.960,1,29.94
559,10,NSF,A,Spatial,19,Pool,14.1,4.557,0.324,0.221,1.9,0.419,8.7,2.859,3.5,1.278,0.0,0.000,1,6.64
560,10,NSF,A,Spatial,20,Pool,10.5,3.065,0.291,0.139,10.5,3.065,0.0,0.000,0.0,0.000,0.0,0.000,1,1.83
561,11,NSF,A,Spatial,19,Pool,3.4,1.062,0.312,0.941,0.9,0.303,2.4,0.758,0.0,0.000,0.0,0.000,1,0.26
562,11,NSF,A,Spatial,20,Pool,2.0,0.480,0.239,0.936,2.0,0.480,0.0,0.000,0.0,0.000,0.0,0.000,1,0.04
563,12,NSF,A,Spatial,19,Pool,60.0,20.708,0.345,0.036,15.7,5.111,5.6,2.408,11.4,4.521,27.3,8.668,0,
564,12,NSF,A,Spatial,20,Pool,33.6,12.987,0.387,0.054,11.1,4.309,9.7,3.518,4.9,2.094,7.9,3.065,1,19.40
565,13,NSF,A,Spatial,19,Pool,10.1,2.695,0.268,0.431,1.1,0.341,0.0,0.000,8.4,2.133,0.5,0.222,1,6.87
566,13,NSF,A,Spatial,20,Pool,17.5,5.738,0.328,0.199,4.4,1.555,2.7,1.043,5.3,1.324,5.1,1.817,1,11.70
567,14,NSF,A,Spatial,19,Pool,53.5,17.310,0.323,0.055,14.8,4.890,10.6,3.601,13.9,3.947,14.3,4.872,1,37.70
568,14,NSF,A,Spatial,20,Pool,60.0,14.990,0.250,0.108,12.1,3.881,11.3,3.705,27.8,4.554,8.8,2.851,0,
569,15,NSF,A,Spatial,19,Pool,19.3,6.205,0.322,0.114,3.9,1.146,14.1,4.665,1.2,0.394,0.0,0.000,1,10.67
570,15,NSF,A,Spatial,20,Pool,60.0,21.256,0.354,0.063,21.8,7.505,8.3,3.125,8.1,2.539,21.8,8.086,0,
571,16,NSF,A,Spatial,19,Pool,4.8,1.635,0.338,0.758,1.1,0.348,1.5,0.651,2.3,0.636,0.0,0.000,1,1.45
572,16,NSF,A,Spatial,20,Pool,3.4,1.401,0.413,0.658,0.9,0.342,2.4,1.059,0.0,0.000,0.0,0.000,1,0.98
573,17,NSF,A,Spatial,19,Pool,4.1,1.441,0.354,0.765,0.9,0.309,3.1,1.132,0.0,0.000,0.0,0.000,1,1.05
574,17,NSF,A,Spatial,20,Pool,20.8,7.604,0.366,0.165,9.5,3.265,4.1,1.633,3.1,1.309,4.1,1.397,1,7.86
575,18,NSF,A,Spatial,19,Pool,6.4,2.021,0.316,0.262,5.9,1.956,0.0,0.000,0.0,0.000,0.5,0.065,1,1.05
576,18,NSF,A,Spatial,20,Pool,19.6,6.102,0.312,0.206,8.1,2.291,4.8,1.474,3.3,1.075,3.3,1.262,1,7.44
577,19,NSF,A,Spatial,19,Pool,31.7,10.442,0.330,0.104,4.0,1.182,1.9,0.510,10.8,3.823,14.9,4.927,1,21.18
578,19,NSF,A,Spatial,20,Pool,10.4,3.396,0.326,0.256,2.8,0.795,0.0,0.000,1.6,0.609,6.0,1.992,1,4.36
579,20,NSF,A,Spatial,19,Pool,7.3,2.484,0.340,0.215,3.8,1.226,0.0,0.000,0.0,0.000,3.5,1.257,1,3.08
580,20,NSF,A,Spatial,20,Pool,60.0,22.939,0.382,0.022,19.7,7.355,19.9,7.409,10.8,4.189,9.6,3.987,0,
581,21,NSF,A,Spatial,19,Pool,3.3,0.813,0.249,0.587,2.2,0.682,1.1,0.131,0.0,0.000,0.0,0.000,1,0.83
582,21,NSF,A,Spatial,20,Pool,16.9,6.020,0.357,0.203,8.8,2.953,1.7,0.664,1.5,0.589,4.8,1.814,1,3.71
583,22,NSF,A,Spatial,19,Pool,17.1,5.374,0.314,0.178,7.2,2.257,5.6,1.873,0.0,0.000,4.4,1.245,1,5.76
584,22,NSF,A,Spatial,20,Pool,3.0,0.956,0.322,0.847,1.5,0.451,0.0,0.000,0.0,0.000,1.5,0.505,1,0.30
585,23,NSF,A,Spatial,19,Pool,5.5,2.043,0.370,0.288,3.0,0.932,0.0,0.000,0.0,0.000,2.5,1.111,1,1.67
586,23,NSF,A,Spatial,20,Pool,2.5,0.774,0.311,0.904,1.1,0.317,1.4,0.457,0.0,0.000,0.0,0.000,1,0.08
587,24,NSF,A,Spatial,19,Pool,26.0,8.433,0.324,0.137,13.1,4.421,9.5,2.779,1.1,0.305,2.4,0.928,1,9.46
588,24,NSF,A,Spatial,20,Pool,4.0,1.188,0.294,0.522,1.2,0.399,2.8,0.790,0.0,0.000,0.0,0.000,1,1.29
589,25,NSF,A,Spatial,19,Pool,29.0,9.633,0.333,0.127,8.9,3.238,8.8,2.793,6.9,2.146,4.3,1.456,1,12.52
590,25,NSF,A,Spatial,20,Pool,12.1,4.093,0.338,0.191,10.0,3.404,0.0,0.000,0.0,0.000,2.1,0.689,1,2.51
591,26,NSF,A,Spatial,19,Pool,6.8,2.532,0.373,0.509,1.7,0.576,2.1,0.914,2.9,1.042,0.0,0.000,1,2.90
592,26,NSF,A,Spatial,20,Pool,39.3,13.196,0.336,0.077,8.3,2.584,11.6,3.948,13.5,4.672,5.9,1.992,1,26.28
593,27,NSF,A,Spatial,19,Pool,9.6,2.481,0.258,0.351,1.3,0.325,0.0,0.000,2.5,0.640,5.8,1.516,1,4.27
594,27,NSF,A,Spatial,20,Pool,10.0,3.367,0.336,0.392,6.0,1.990,0.4,0.158,3.2,1.054,0.4,0.165,1,2.31
595,28,NSF,A,Spatial,19,Pool,12.0,3.847,0.322,0.134,3.8,1.028,8.1,2.819,0.0,0.000,0.0,0.000,1,5.24
596,28,NSF,A,Spatial,20,Pool,12.5,4.067,0.326,0.099,10.7,3.598,0.0,0.000,0.0,0.000,1.7,0.469,1,3.60
597,29,NSF,A,Spatial,19,Pool,11.9,4.164,0.350,0.241,1.9,0.612,10.0,3.551,0.0,0.000,0.0,0.000,1,5.04
598,29,NSF,A,Spatial,20,Pool,6.5,2.572,0.397,0.433,4.0,1.560,0.0,0.000,1.3,0.412,1.2,0.600,1,1.16
599,30,NSF,A,Spatial,19,Pool,3.1,1.230,0.395,0.934,1.1,0.369,0.5,0.258,1.5,0.603,0.0,0.000,1,0.09
600,30,NSF,A,Spatial,20,Pool,3.6,0.638,0.177,0.942,1.0,0.323,0.0,0.000,0.0,0.000,2.6,0.316,1,0.54
601,1,NSF,A,Spatial,21,Pool,3.8,1.120,0.295,0.798,1.3,0.355,2.4,0.765,0.0,0.000,0.0,0.000,1,0.51
602,1,NSF,A,Spatial,22,Pool,4.1,1.198,0.291,0.355,4.1,1.198,0.0,0.000,0.0,0.000,0.0,0.000,1,0.71
603,2,NSF,A,Spatial,21,Pool,6.5,2.065,0.317,0.601,1.7,0.475,0.0,0.000,3.8,1.346,1.0,0.243,1,1.90
604,2,NSF,A,Spatial,22,Pool,2.1,0.377,0.178,0.967,2.1,0.377,0.0,0.000,0.0,0.000,0.0,0.000,1,0.15
605,3,NSF,A,Spatial,21,Pool,9.4,2.970,0.317,0.398,6.3,1.847,0.0,0.000,2.2,0.899,0.9,0.224,1,1.33
606,3,NSF,A,Spatial,22,Pool,1.7,0.504,0.300,0.873,1.7,0.504,0.0,0.000,0.0,0.000,0.0,0.000,1,0.08
607,4,NSF,A,Spatial,21,Pool,7.5,1.991,0.265,0.563,2.4,0.610,0.0,0.000,3.1,0.881,2.0,0.500,1,1.57
608,4,NSF,A,Spatial,22,Pool,5.1,1.484,0.288,0.747,2.5,0.554,2.6,0.929,0.0,0.000,0.0,0.000,1,0.39
609,5,NSF,A,Spatial,21,Pool,1.3,0.457,0.352,0.992,1.3,0.457,0.0,0.000,0.0,0.000,0.0,0.000,1,0.02
610,5,NSF,A,Spatial,22,Pool,9.1,3.303,0.364,0.351,2.1,0.671,3.6,1.530,2.5,0.882,0.8,0.220,1,3.55
611,6,NSF,A,Spatial,21,Pool,14.7,3.995,0.272,0.175,6.7,1.761,0.0,0.000,0.0,0.000,8.0,2.234,1,5.03
612,6,NSF,A,Spatial,22,Pool,16.1,5.650,0.350,0.141,5.6,1.711,8.5,3.164,2.0,0.775,0.0,0.000,1,7.06
613,7,NSF,A,Spatial,21,Pool,6.2,2.459,0.394,0.527,2.0,0.610,2.0,0.862,2.2,0.987,0.0,0.000,1,1.79
614,7,NSF,A,Spatial,22,Pool,14.8,5.368,0.363,0.080,9.8,3.508,3.7,1.374,0.7,0.273,0.5,0.213,1,5.02
615,8,NSF,A,Spatial,21,Pool,8.2,2.837,0.344,0.440,4.1,1.304,2.3,0.911,1.8,0.623,0.0,0.000,1,2.19
616,8,NSF,A,Spatial,22,Pool,4.6,1.613,0.347,0.358,0.8,0.189,0.0,0.000,0.0,0.000,3.8,1.424,1,2.03
617,9,NSF,A,Spatial,21,Pool,6.0,2.353,0.391,0.303,1.3,0.529,2.9,1.130,1.5,0.572,0.3,0.121,1,2.13
618,9,NSF,A,Spatial,22,Pool,19.5,7.328,0.376,0.171,8.1,2.726,2.3,0.999,3.9,1.274,5.2,2.329,1,8.39
619,10,NSF,A,Spatial,21,Pool,28.3,8.821,0.312,0.114,10.0,2.808,15.5,4.995,2.8,1.018,0.0,0.000,1,11.35
620,10,NSF,A,Spatial,22,Pool,15.3,5.285,0.345,0.135,9.2,3.233,0.0,0.000,0.5,0.145,5.6,1.906,1,5.01
621,11,NSF,A,Spatial,21,Pool,1.9,0.586,0.309,0.909,1.9,0.586,0.0,0.000,0.0,0.000,0.0,0.000,1,0.12
622,11,NSF,A,Spatial,22,Pool,8.4,3.042,0.361,0.206,5.5,1.962,0.0,0.000,0.0,0.000,2.9,1.080,1,2.11
623,12,NSF,A,Spatial,21,Pool,12.1,4.046,0.336,0.287,4.7,1.382,1.2,0.484,6.2,2.180,0.0,0.000,1,5.92
624,12,NSF,A,Spatial,22,Pool,5.3,1.730,0.327,0.452,2.8,0.924,2.5,0.806,0.0,0.000,0.0,0.000,1,0.96
625,13,NSF,A,Spatial,21,Pool,7.1,2.009,0.283,0.442,4.5,1.097,1.9,0.632,0.2,0.069,0.5,0.211,1,1.40
626,13,NSF,A,Spatial,22,Pool,24.3,8.040,0.331,0.078,7.5,2.141,1.5,0.582,8.4,2.867,6.9,2.450,1,14.82
627,14,NSF,A,Spatial,21,Pool,3.0,1.143,0.378,0.895,0.9,0.394,0.0,0.000,2.1,0.749,0.0,0.000,1,0.37
628,14,NSF,A,Spatial,22,Pool,60.0,15.479,0.258,0.038,7.9,2.634,6.7,2.225,24.6,5.403,20.8,5.217,0,
629,15,NSF,A,Spatial,21,Pool,25.5,9.685,0.380,0.132,2.8,1.015,5.1,2.049,12.1,4.151,5.6,2.470,1,18.52
630,15,NSF,A,Spatial,22,Pool,58.1,17.856,0.307,0.035,17.2,5.747,16.5,4.404,5.3,2.190,19.1,5.515,1,38.25
631,16,NSF,A,Spatial,21,Pool,7.4,2.924,0.397,0.358,1.6,0.466,1.7,0.765,2.3,1.068,1.7,0.625,1,4.22
632,16,NSF,A,Spatial,22,Pool,18.7,6.903,0.368,0.171,3.9,1.171,9.2,3.361,4.5,1.882,1.2,0.488,1,10.47
633,17,NSF,A,Spatial,21,Pool,13.8,5.221,0.377,0.249,6.1,2.063,2.0,0.820,2.7,1.043,3.1,1.295,1,4.77
634,17,NSF,A,Spatial,22,Pool,3.8,1.347,0.353,0.431,1.1,0.310,0.0,0.000,0.0,0.000,2.8,1.037,1,1.12
635,18,NSF,A,Spatial,21,Pool,8.7,2.604,0.300,0.385,3.6,0.916,0.0,0.000,0.0,0.000,5.1,1.688,1,2.36
636,18,NSF,A,Spatial,22,Pool,4.5,1.542,0.343,0.629,0.9,0.234,1.2,0.354,1.2,0.479,1.2,0.474,1,1.19
637,19,NSF,A,Spatial,21,Pool,16.8,5.314,0.316,0.176,3.3,0.892,4.9,1.532,5.1,1.793,3.5,1.097,1,8.51
638,19,NSF,A,Spatial,22,Pool,14.4,4.293,0.298,0.190,1.8,0.477,0.0,0.000,1.1,0.376,11.5,3.441,1,6.24
639,20,NSF,A,Spatial,21,Pool,15.4,4.897,0.317,0.272,4.0,1.088,0.0,0.000,4.6,1.311,6.8,2.499,1,7.58
640,20,NSF,A,Spatial,22,Pool,5.3,1.445,0.273,0.662,2.8,0.847,2.5,0.598,0.0,0.000,0.0,0.000,1,1.28
641,21,NSF,A,Spatial,21,Pool,4.4,1.262,0.289,0.436,4.3,1.262,0.0,0.000,0.0,0.000,0.0,0.000,1,0.68
642,21,NSF,A,Spatial,22,Pool,5.6,1.802,0.323,0.441,2.7,0.843,0.0,0.000,0.0,0.000,2.9,0.959,1,0.97
643,22,NSF,A,Spatial,21,Pool,39.5,11.582,0.293,0.083,8.8,2.628,15.7,4.461,4.7,1.338,10.3,3.155,1,17.58
644,22,NSF,A,Spatial,22,Pool,2.5,0.749,0.297,0.751,2.5,0.749,0.0,0.000,0.0,0.000,0.0,0.000,1,0.24
645,23,NSF,A,Spatial,21,Pool,5.5,1.951,0.356,0.428,3.0,1.048,1.4,0.593,0.0,0.000,1.1,0.310,1,0.82
646,23,NSF,A,Spatial,22,Pool,2.5,0.885,0.348,0.770,0.9,0.274,0.0,0.000,0.0,0.000,1.6,0.611,1,0.32
647,24,NSF,A,Spatial,21,Pool,10.0,3.132,0.314,0.357,4.8,1.432,3.5,1.115,1.7,0.586,0.0,0.000,1,2.27
648,24,NSF,A,Spatial,22,Pool,9.1,3.307,0.362,0.268,4.5,1.764,2.7,0.842,0.0,0.000,1.9,0.701,1,3.41
649,25,NSF,A,Spatial,21,Pool,6.5,2.668,0.410,0.217,5.0,2.120,0.0,0.000,0.0,0.000,1.5,0.548,1,1.40
650,25,NSF,A,Spatial,22,Pool,13.5,4.564,0.339,0.186,9.1,3.040,4.4,1.525,0.0,0.000,0.0,0.000,1,2.49
651,26,NSF,A,Spatial,21,Pool,22.1,7.563,0.343,0.150,4.9,1.615,6.7,2.458,8.0,2.773,2.4,0.716,1,12.62
652,26,NSF,A,Spatial,22,Pool,4.8,1.692,0.351,0.582,2.4,0.765,2.4,0.928,0.0,0.000,0.0,0.000,1,1.14
