Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : time (s),Q1 : distance (m),Q2 : time (s),Q2 : distance (m),Q3 : time (s),Q3 : distance (m),Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
36,18,NSF,A,Spatial,2,Pool,13.5,4.465,0.330,0.267,5.4,1.893,1.2,0.353,2.0,0.631,4.9,1.589,1,13.5,9.6,0.256,8.38
37,19,NSF,A,Spatial,1,Pool,5.0,1.555,0.308,0.663,1.6,0.477,1.6,0.479,0.9,0.271,0.9,0.329,1,5.0,4.0,0.613,1.31
38,19,NSF,A,Spatial,2,Pool,2.4,0.581,0.245,0.750,0.0,0.000,0.0,0.000,2.4,0.581,0.0,0.000,1,2.4,1.8,0.725,0.23
39,20,NSF,A,Spatial,1,Pool,51.0,17.427,0.341,0.048,12.8,4.632,7.3,2.441,8.8,3.000,22.1,7.355,1,51.0,26.2,0.046,34.69
40,20,NSF,A,Spatial,2,Pool,3.6,1.175,0.327,0.935,2.2,0.729,0.0,0.000,1.3,0.446,0.0,0.000,1,3.6,3.0,0.872,0.19
41,21,NSF,A,Spatial,1,Pool,60.0,19.102,0.318,0.078,37.9,11.196,11.1,3.974,2.9,1.060,8.1,2.872,0,,33.3,,
42,21,NSF,A,Spatial,2,Pool,5.2,1.838,0.356,0.387,1.5,0.489,1.7,0.650,1.0,0.314,0.9,0.386,1,5.2,2.8,0.308,1.76
43,22,NSF,A,Spatial,1,Pool,60.0,17.452,0.291,0.005,36.9,10.848,7.5,2.092,0.8,0.276,14.9,4.236,0,,30.7,,
44,22,NSF,A,Spatial,2,Pool,17.4,6.050,0.348,0.200,4.8,1.606,4.3,1.716,4.4,1.420,3.9,1.308,1,17.4,9.9,0.187,8.90
45,23,NSF,A,Spatial,1,Pool,60.0,18.918,0.315,0.083,29.2,9.132,23.5,6.946,0.4,0.178,6.9,2.661,0,,29.2,,
46,23,NSF,A,Spatial,2,Pool,20.7,7.523,0.364,0.075,5.5,2.051,7.6,2.515,5.2,2.007,2.4,0.950,1,20.7,10.5,0.053,12.76
47,24,NSF,A,Spatial,1,Pool,60.0,18.504,0.308,0.066,27.9,8.080,19.5,6.089,6.3,2.156,6.3,2.178,0,,31.8,,
48,24,NSF,A,Spatial,2,Pool,4.1,1.082,0.266,0.609,0.0,0.000,1.9,0.692,2.2,0.390,0.0,0.000,1,4.1,3.2,0.480,0.91
49,25,NSF,A,Spatial,1,Pool,60.0,16.797,0.280,0.068,25.9,7.071,2.3,0.723,4.2,1.854,27.7,7.148,0,,32.3,,
50,25,NSF,A,Spatial,2,Pool,60.0,17.939,0.299,0.010,31.6,9.303,17.5,5.232,0.0,0.000,10.9,3.405,0,,27.5,,
51,26,NSF,A,Spatial,1,Pool,60.0,19.120,0.319,0.077,24.0,7.525,11.6,4.091,6.9,2.402,17.4,5.102,0,,32.2,,
