Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : time (s),Q1 : distance (m),Q2 : time (s),Q2 : distance (m),Q3 : time (s),Q3 : distance (m),Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
149,15,NSF,A,Spatial,5,Pool,60.0,20.028,0.334,0.026,24.8,7.835,17.1,5.950,8.8,2.920,9.3,3.324,0,,29.3,,
150,15,NSF,A,Spatial,6,Pool,2.1,0.637,0.309,0.775,0.0,0.000,0.0,0.000,2.0,0.637,0.0,0.000,1,2.0,1.6,0.698,0.21
151,16,NSF,A,Spatial,5,Pool,1.5,0.374,0.255,0.975,0.0,0.000,0.0,0.000,1.4,0.374,0.0,0.000,1,1.4,1.0,0.938,0.05
152,16,NSF,A,Spatial,6,Pool,9.5,3.168,0.334,0.361,4.4,1.579,4.1,1.329,0.9,0.260,0.0,0.000,1,9.5,5.9,0.355,5.25
153,17,NSF,A,Spatial,5,Pool,8.3,2.938,0.354,0.316,0.0,0.000,0.0,0.000,3.1,0.982,5.2,1.955,1,8.3,5.3,0.261,2.88
154,17,NSF,A,Spatial,6,Pool,19.3,6.945,0.360,0.184,2.4,0.842,2.9,0.786,10.9,4.132,3.1,1.185,1,19.3,12.0,0.160,6.06
155,18,NSF,A,Spatial,5,Pool,12.9,4.276,0.330,0.128,2.0,0.629,5.3,1.840,5.1,1.592,0.5,0.215,1,12.9,7.2,0.128,5.07
156,18,NSF,A,Spatial,6,Pool,14.6,4.726,0.324,0.209,2.1,0.917,0.5,0.218,5.5,1.796,6.4,1.795,1,14.6,8.3,0.189,6.88
157,19,NSF,A,Spatial,5,Pool,2.9,1.049,0.357,0.857,0.0,0.000,2.0,0.734,0.9,0.315,0.0,0.000,1,2.9,2.5,0.836,0.36
158,19,NSF,A,Spatial,6,Pool,12.4,3.871,0.312,0.129,0.0,0.000,0.0,0.000,6.6,2.051,5.7,1.820,1,12.4,6.4,0.091,3.95
159,20,NSF,A,Spatial,5,Pool,6.6,2.480,0.375,0.432,2.5,0.902,3.0,1.249,1.1,0.329,0.0,0.000,1,6.6,4.3,0.419,2.24
160,20,NSF,A,Spatial,6,Pool,8.8,3.512,0.397,0.316,2.0,0.961,0.0,0.000,3.7,1.401,3.1,1.150,1,8.8,5.3,0.303,3.05
161,21,NSF,A,Spatial,5,Pool,6.9,2.299,0.334,0.407,0.3,0.115,2.4,0.959,4.1,1.224,0.0,0.000,1,6.9,5.1,0.396,1.20
162,21,NSF,A,Spatial,6,Pool,8.9,2.918,0.326,0.312,3.5,1.160,0.0,0.000,2.1,0.515,3.3,1.243,1,8.9,5.9,0.293,3.81
163,22,NSF,A,Spatial,5,Pool,17.0,6.244,0.368,0.057,1.5,0.564,5.3,2.051,8.6,2.946,1.6,0.683,1,17.0,8.2,0.036,6.99
164,22,NSF,A,Spatial,6,Pool,45.4,15.044,0.331,0.085,16.4,5.173,10.8,3.681,10.4,3.469,7.8,2.720,1,45.4,25.5,0.078,28.31
165,23,NSF,A,Spatial,5,Pool,7.2,2.200,0.308,0.221,2.0,0.511,0.0,0.000,2.7,0.869,2.4,0.820,1,7.1,3.6,0.210,2.67
166,23,NSF,A,Spatial,6,Pool,5.6,1.921,0.341,0.564,1.9,0.554,0.0,0.000,0.8,0.240,3.0,1.127,1,5.6,4.2,0.545,1.92
167,24,NSF,A,Spatial,5,Pool,3.6,1.274,0.356,0.502,0.0,0.000,2.6,0.969,0.9,0.305,0.0,0.000,1,3.6,2.9,0.496,0.97
168,24,NSF,A,Spatial,6,Pool,3.3,1.058,0.325,0.941,1.6,0.597,0.0,0.000,1.4,0.402,0.2,0.059,1,3.2,2.7,0.921,-0.01
169,25,NSF,A,Spatial,5,Pool,15.2,5.890,0.388,0.179,5.7,2.406,5.6,2.166,2.8,0.914,1.1,0.404,1,15.2,8.9,0.154,9.37
170,25,NSF,A,Spatial,6,Pool,7.3,3.075,0.420,0.266,0.7,0.314,3.3,1.375,0.9,0.322,2.4,1.064,1,7.3,4.0,0.237,3.36
171,26,NSF,A,Spatial,5,Pool,21.9,8.495,0.387,0.145,3.1,1.128,4.3,1.895,9.4,3.440,5.2,2.033,1,21.9,13.2,0.139,10.08
172,26,NSF,A,Spatial,6,Pool,2.0,0.698,0.352,0.819,0.0,0.000,0.0,0.000,2.0,0.698,0.0,0.000,1,2.0,1.4,0.654,0.15
173,27,NSF,A,Spatial,5,Pool,6.0,1.798,0.297,0.421,0.8,0.229,1.2,0.255,2.1,0.666,1.9,0.648,1,6.0,3.6,0.355,1.41
174,27,NSF,A,Spatial,6,Pool,6.8,2.477,0.364,0.236,1.9,0.631,4.1,1.636,0.8,0.209,0.0,0.000,1,6.8,4.0,0.229,3.39
175,28,NSF,A,Spatial,5,Pool,60.0,17.279,0.288,0.055,9.1,2.598,4.7,1.501,10.1,3.155,36.1,10.026,0,,29.5,,
176,28,NSF,A,Spatial,6,Pool,32.7,9.453,0.289,0.068,8.5,2.963,1.0,0.307,1.9,0.609,21.3,5.574,1,32.7,15.5,0.062,24.54
177,29,NSF,A,Spatial,5,Pool,10.3,3.963,0.386,0.089,0.0,0.000,3.2,1.362,6.5,2.363,0.5,0.238,1,10.3,5.3,0.079,3.45
178,29,NSF,A,Spatial,6,Pool,3.1,1.255,0.411,0.901,1.8,0.741,0.5,0.268,0.7,0.245,0.0,0.000,1,3.0,2.6,0.886,0.29
179,30,NSF,A,Spatial,5,Pool,1.6,0.425,0.270,0.952,0.0,0.000,0.0,0.000,1.6,0.425,0.0,0.000,1,1.6,1.0,0.956,0.03
180,30,NSF,A,Spatial,6,Pool,16.7,6.808,0.408,0.154,1.8,0.630,0.1,0.057,11.5,4.651,3.3,1.469,1,16.7,10.1,0.141,4.44
