Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q2 : entries,Q2 : time (s),Q3 : entries,Q3 : time (s),Q4 : entries,Q4 : time (s),Platform : entries,Platform : CIPL (m·s)
47,24,b,B,Spatial,1,Pool,60.0,18.504,0.308,0.066,6,27.9,6,19.5,3,6.3,3,6.3,0,51.96
48,24,b,B,Spatial,2,Pool,4.1,1.082,0.266,0.609,0,0.0,1,1.9,2,2.2,0,0.0,1,0.91
49,25,b,B,Spatial,1,Pool,60.0,16.797,0.280,0.068,6,25.9,1,2.3,2,4.2,7,27.7,0,49.57
50,25,b,B,Spatial,2,Pool,60.0,17.939,0.299,0.010,11,31.6,6,17.5,0,0.0,4,10.9,0,48.28
51,26,b,B,Spatial,1,Pool,60.0,19.120,0.319,0.077,8,24.0,5,11.6,2,6.9,6,17.4,0,44.67
52,26,b,B,Spatial,2,Pool,13.8,3.890,0.282,0.130,0,0.0,0,0.0,2,11.1,1,2.7,1,3.94
53,27,b,B,Spatial,1,Pool,11.9,3.476,0.293,0.319,1,6.4,0,0.0,1,1.5,1,4.0,1,6.74
54,27,b,B,Spatial,2,Pool,3.1,0.785,0.254,0.461,0,0.0,0,0.0,1,3.1,0,0.0,1,0.65
55,28,b,B,Spatial,1,Pool,60.0,19.173,0.320,0.029,7,38.4,3,4.7,1,5.7,4,11.2,0,50.25
56,28,b,B,Spatial,2,Pool,60.0,18.370,0.306,0.020,5,28.6,4,8.3,5,3.6,7,19.5,0,45.51
57,29,b,B,Spatial,1,Pool,8.6,2.756,0.320,0.234,0,0.0,2,4.9,2,3.7,0,0.0,1,2.62
58,29,b,B,Spatial,2,Pool,15.8,5.998,0.379,0.205,1,1.4,2,2.4,3,11.3,1,0.7,1,4.52
59,30,b,B,Spatial,1,Pool,60.0,21.240,0.354,0.011,7,32.6,6,14.3,2,5.6,4,7.6,0,52.06
60,30,b,B,Spatial,2,Pool,23.6,8.171,0.347,0.111,1,6.0,4,8.8,3,8.8,0,0.0,1,12.69
61,1,a,A,Spatial,3,Pool,2.2,0.603,0.270,0.746,0,0.0,0,0.0,1,2.2,0,0.0,1,0.19
62,1,a,A,Spatial,4,Pool,14.8,5.576,0.377,0.151,1,0.5,1,1.3,3,7.1,3,5.8,1,3.95
63,2,a,A,Spatial,3,Pool,8.8,2.756,0.312,0.442,0,0.0,1,4.7,1,4.1,0,0.0,1,2.96
64,2,a,A,Spatial,4,Pool,6.8,2.475,0.363,0.475,1,2.7,0,0.0,1,2.5,1,1.6,1,2.80
65,3,a,A,Spatial,3,Pool,10.9,3.735,0.342,0.159,0,0.0,1,0.9,2,7.9,2,2.0,1,2.22
66,3,a,A,Spatial,4,Pool,2.3,0.766,0.328,0.940,0,0.0,1,1.4,1,0.9,0,0.0,1,0.12
67,4,a,A,Spatial,3,Pool,34.7,8.785,0.253,0.113,5,18.1,1,5.3,2,1.6,6,9.6,1,27.51
68,4,a,A,Spatial,4,Pool,5.4,1.719,0.316,0.698,1,2.1,1,2.1,1,1.2,0,0.0,1,1.30
69,5,a,A,Spatial,3,Pool,10.7,3.265,0.304,0.313,2,5.0,1,0.7,1,0.9,2,4.1,1,5.81
70,5,a,A,Spatial,4,Pool,2.8,1.069,0.383,0.810,0,0.0,1,2.1,1,0.7,0,0.0,1,0.48
71,6,a,A,Spatial,3,Pool,7.5,2.974,0.399,0.148,0,0.0,1,2.3,4,4.1,2,1.1,1,2.44
72,6,a,A,Spatial,4,Pool,18.8,7.093,0.377,0.160,1,3.7,3,5.6,3,9.5,0,0.0,1,7.39
73,7,a,A,Spatial,3,Pool,60.0,18.908,0.315,0.044,8,22.9,6,15.3,3,13.9,5,7.9,0,39.76
74,7,a,A,Spatial,4,Pool,10.3,2.801,0.272,0.429,1,1.2,1,5.1,1,4.0,0,0.0,1,3.56
75,8,a,A,Spatial,3,Pool,1.7,0.563,0.329,0.838,0,0.0,0,0.0,1,1.7,0,0.0,1,0.13
76,8,a,A,Spatial,4,Pool,16.0,5.796,0.362,0.193,2,7.3,1,5.2,1,0.8,2,2.6,1,10.67
77,9,a,A,Spatial,3,Pool,15.3,5.705,0.372,0.134,4,3.1,2,2.5,2,4.7,4,5.1,1,5.79
78,9,a,A,Spatial,4,Pool,10.2,4.152,0.407,0.180,0,0.0,1,1.3,3,5.0,2,3.9,1,3.64
79,10,a,A,Spatial,3,Pool,9.6,3.133,0.327,0.282,1,0.4,2,4.8,2,3.6,1,0.8,1,2.83
80,10,a,A,Spatial,4,Pool,12.1,4.147,0.343,0.109,0,0.0,0,0.0,3,7.2,2,4.9,1,4.66
81,11,a,A,Spatial,3,Pool,60.0,17.056,0.284,0.090,5,30.2,4,10.8,3,14.5,2,4.5,0,42.43
82,11,a,A,Spatial,4,Pool,60.0,15.553,0.259,0.096,7,25.6,5,21.9,1,4.0,4,8.5,0,49.59
83,12,a,A,Spatial,3,Pool,21.1,6.411,0.303,0.102,2,10.4,1,3.5,2,6.7,2,0.6,1,13.99
84,12,a,A,Spatial,4,Pool,7.3,2.583,0.355,0.383,2,4.3,1,1.3,1,0.8,1,0.8,1,4.71
85,13,a,A,Spatial,3,Pool,45.9,14.019,0.305,0.055,3,6.9,3,11.2,5,13.4,5,14.4,1,24.64
86,13,a,A,Spatial,4,Pool,3.2,0.838,0.258,0.698,0,0.0,0,0.0,1,3.2,0,0.0,1,0.19
87,14,a,A,Spatial,3,Pool,4.5,1.403,0.309,0.660,1,1.6,1,0.8,1,0.8,1,1.3,1,1.12
88,14,a,A,Spatial,4,Pool,5.9,2.217,0.376,0.572,1,1.8,0,0.0,1,2.9,1,1.2,1,1.09
89,15,a,A,Spatial,3,Pool,3.5,1.155,0.333,0.728,0,0.0,1,1.5,1,2.0,0,0.0,1,0.55
90,15,a,A,Spatial,4,Pool,23.9,8.875,0.371,0.109,3,8.6,3,6.1,3,3.3,2,5.9,1,15.60
91,16,b,B,Spatial,3,Pool,2.0,0.785,0.392,0.914,0,0.0,0,0.0,1,1.2,1,0.8,1,0.12
92,16,b,B,Spatial,4,Pool,1.5,0.495,0.329,0.926,0,0.0,0,0.0,1,1.5,0,0.0,1,0.04
93,17,b,B,Spatial,3,Pool,26.7,8.297,0.311,0.054,1,0.5,2,2.8,6,15.0,4,8.3,1,10.24
94,17,b,B,Spatial,4,Pool,3.7,1.255,0.339,0.551,0,0.0,1,2.6,1,1.1,0,0.0,1,0.88
95,18,b,B,Spatial,3,Pool,20.1,6.244,0.310,0.153,3,6.5,0,0.0,2,4.6,4,9.0,1,11.78
96,18,b,B,Spatial,4,Pool,3.9,1.109,0.286,0.803,0,0.0,0,0.0,1,0.9,1,2.9,1,0.47
97,19,b,B,Spatial,3,Pool,6.7,2.292,0.343,0.547,1,1.3,0,0.0,1,3.5,1,1.9,1,1.19
98,19,b,B,Spatial,4,Pool,10.0,3.695,0.371,0.267,0,0.0,0,0.0,2,4.1,2,5.8,1,3.77
99,20,b,B,Spatial,3,Pool,6.7,2.292,0.345,0.370,0,0.0,1,1.8,1,4.8,0,0.0,1,1.57
100,20,b,B,Spatial,4,Pool,4.2,1.177,0.283,0.557,0,0.0,0,0.0,1,0.8,1,3.4,1,1.28
101,21,b,B,Spatial,3,Pool,4.3,1.529,0.359,0.523,1,0.4,1,2.1,1,1.0,1,0.7,1,1.15
102,21,b,B,Spatial,4,Pool,11.4,4.408,0.388,0.251,2,2.5,1,1.3,2,5.6,2,1.9,1,3.32
103,22,b,B,Spatial,3,Pool,6.7,2.606,0.390,0.266,0,0.0,1,5.2,1,1.5,0,0.0,1,3.78
104,22,b,B,Spatial,4,Pool,60.0,19.735,0.329,0.026,8,27.2,7,19.9,4,4.4,4,8.5,0,43.92
105,23,b,B,Spatial,3,Pool,8.0,2.200,0.274,0.292,0,0.0,2,3.0,2,5.0,0,0.0,1,2.15
106,23,b,B,Spatial,4,Pool,11.8,3.949,0.335,0.302,2,2.1,0,0.0,2,5.3,3,4.4,1,3.13
107,24,b,B,Spatial,3,Pool,35.4,12.403,0.350,0.087,5,12.1,5,9.6,3,6.9,3,6.8,1,23.68
108,24,b,B,Spatial,4,Pool,2.6,0.910,0.350,0.771,0,0.0,0,0.0,1,1.3,1,1.3,1,0.35
109,25,b,B,Spatial,3,Pool,60.0,17.194,0.287,0.089,8,23.9,6,25.3,1,1.7,4,9.1,0,48.63
110,25,b,B,Spatial,4,Pool,8.6,2.336,0.273,0.474,1,2.7,2,4.4,1,1.5,0,0.0,1,4.60
111,26,b,B,Spatial,3,Pool,60.0,19.648,0.327,0.014,4,12.5,4,9.4,5,28.3,4,9.9,0,34.01
112,26,b,B,Spatial,4,Pool,8.0,2.711,0.339,0.441,1,1.1,0,0.0,1,3.5,1,3.4,1,2.96
113,27,b,B,Spatial,3,Pool,2.3,0.578,0.255,0.939,0,0.0,0,0.0,1,2.3,0,0.0,1,0.12
114,27,b,B,Spatial,4,Pool,9.4,2.654,0.283,0.449,2,5.5,1,2.4,1,1.5,0,0.0,1,3.56
115,28,b,B,Spatial,3,Pool,4.4,1.255,0.282,0.421,0,0.0,1,3.0,1,1.5,0,0.0,1,1.49
116,28,b,B,Spatial,4,Pool,14.6,5.215,0.357,0.213,2,5.8,0,0.0,1,0.9,2,7.9,1,8.52
117,29,b,B,Spatial,3,Pool,7.5,2.371,0.315,0.464,1,1.6,2,1.6,2,4.3,0,0.0,1,1.63
118,29,b,B,Spatial,4,Pool,4.1,1.277,0.314,0.481,0,0.0,1,1.3,1,2.8,0,0.0,1,0.65
119,30,b,B,Spatial,3,Pool,3.3,1.189,0.360,0.959,1,1.3,0,0.0,1,0.8,1,1.2,1,0.12
120,30,b,B,Spatial,4,Pool,5.4,1.832,0.342,0.590,0,0.0,0,0.0,1,3.2,1,2.2,1,1.10
121,1,a,A,Spatial,5,Pool,60.0,18.346,0.306,0.036,10,22.6,6,12.1,2,6.9,5,18.4,0,38.74
122,1,a,A,Spatial,6,Pool,8.1,2.329,0.288,0.244,1,0.4,1,1.5,2,3.6,2,2.6,1,2.47
123,2,a,A,Spatial,5,Pool,7.7,2.724,0.356,0.391,1,1.3,1,2.9,1,3.4,0,0.0,1,1.90
124,2,a,A,Spatial,6,Pool,4.4,1.376,0.315,0.360,0,0.0,0,0.0,1,4.4,0,0.0,1,0.90
125,3,a,A,Spatial,5,Pool,3.9,1.367,0.354,0.698,1,0.8,0,0.0,1,1.5,1,1.6,1,0.67
126,3,a,A,Spatial,6,Pool,4.5,1.415,0.317,0.543,1,1.4,0,0.0,1,1.9,1,1.2,1,0.78
127,4,a,A,Spatial,5,Pool,5.1,1.549,0.302,0.551,0,0.0,1,4.0,1,1.1,0,0.0,1,1.85
128,4,a,A,Spatial,6,Pool,9.2,3.499,0.381,0.288,0,0.0,0,0.0,1,7.2,1,2.0,1,1.31
129,5,a,A,Spatial,5,Pool,2.0,0.619,0.316,0.894,0,0.0,0,0.0,1,2.0,0,0.0,1,0.13
130,5,a,A,Spatial,6,Pool,3.7,1.459,0.397,0.678,1,1.3,2,1.5,1,0.8,0,0.0,1,1.13
131,6,a,A,Spatial,5,Pool,7.5,2.516,0.336,0.163,0,0.0,1,1.7,2,5.7,0,0.0,1,2.27
132,6,a,A,Spatial,6,Pool,6.3,2.592,0.408,0.259,1,4.0,0,0.0,1,0.7,2,1.6,1,3.63
133,7,a,A,Spatial,5,Pool,53.1,16.868,0.317,0.063,5,7.5,6,17.5,5,21.3,3,6.8,1,27.33
134,7,a,A,Spatial,6,Pool,2.0,0.567,0.291,0.874,0,0.0,0,0.0,1,1.9,0,0.0,1,0.10
135,8,a,A,Spatial,5,Pool,32.1,10.922,0.340,0.094,4,11.8,3,6.9,2,6.8,3,6.5,1,21.17
136,8,a,A,Spatial,6,Pool,5.8,1.980,0.343,0.260,0,0.0,0,0.0,2,5.3,1,0.4,1,1.12
137,9,a,A,Spatial,5,Pool,7.6,2.825,0.371,0.306,1,0.8,0,0.0,2,2.8,3,4.0,1,2.32
138,9,a,A,Spatial,6,Pool,1.4,0.397,0.292,0.849,0,0.0,1,0.6,1,0.8,0,0.0,1,0.07
139,10,a,A,Spatial,5,Pool,50.7,16.223,0.320,0.066,4,11.3,4,15.9,4,16.3,2,7.2,1,29.32
140,10,a,A,Spatial,6,Pool,3.3,1.094,0.336,0.592,0,0.0,1,2.2,1,1.1,0,0.0,1,0.62
141,11,a,A,Spatial,5,Pool,27.7,6.535,0.236,0.183,3,14.2,2,10.4,1,0.9,1,2.1,1,23.37
142,11,a,A,Spatial,6,Pool,3.6,1.274,0.352,0.568,0,0.0,0,0.0,1,2.8,1,0.8,1,0.65
143,12,a,A,Spatial,5,Pool,33.4,12.938,0.387,0.054,3,5.3,2,5.5,5,11.7,6,10.9,1,16.57
144,12,a,A,Spatial,6,Pool,3.7,1.501,0.405,0.865,1,1.6,0,0.0,1,1.1,1,1.1,1,0.40
