Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),First zone entered,Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q2 : entries,Q2 : time (s),Q3 : entries,Q3 : time (s),Q4 : entries,Q4 : time (s),Platform : entries,Platform : distance to first entry (m),Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
276,18,a,A,Spatial,12,Pool,3/4/2023,4.5,1.192,Q2,0.262,0.519,0,0.0,1,2.8,1,1.7,0,0.0,1,1.192,4.5,3.4,0.496,0.84
277,19,a,A,Spatial,11,Pool,3/4/2023,60.0,11.379,Q4,0.190,0.104,2,38.1,1,7.2,1,6.0,2,8.7,0,,,30.5,,
278,19,a,A,Spatial,12,Pool,3/4/2023,60.0,14.427,Q2,0.240,0.025,4,22.6,6,20.7,3,6.0,2,10.7,0,,,32.2,,
279,20,a,A,Spatial,11,Pool,3/4/2023,12.4,4.120,Q2,0.331,0.280,1,0.5,2,3.1,3,6.2,2,2.6,1,4.120,12.4,7.6,0.245,2.89
280,20,a,A,Spatial,12,Pool,3/4/2023,6.1,1.546,Q3,0.253,0.234,0,0.0,1,0.8,2,5.3,0,0.0,1,1.546,6.1,3.0,0.223,1.59
281,21,a,A,Spatial,11,Pool,3/4/2023,6.6,2.522,Q1,0.384,0.420,1,2.2,0,0.0,1,4.1,1,0.3,1,2.522,6.6,4.8,0.419,1.14
282,21,a,A,Spatial,12,Pool,3/4/2023,8.1,2.940,Q4,0.363,0.307,2,1.1,1,1.2,1,3.1,2,2.7,1,2.940,8.1,5.2,0.269,2.41
283,22,a,A,Spatial,11,Pool,3/4/2023,6.4,2.034,Q4,0.320,0.528,0,0.0,0,0.0,1,2.7,1,3.7,1,2.034,6.3,5.5,0.528,1.54
284,22,a,A,Spatial,12,Pool,3/4/2023,1.5,0.337,Q3,0.220,0.968,0,0.0,0,0.0,1,1.5,0,0.0,1,0.337,1.5,1.1,0.978,0.02
285,23,a,A,Spatial,11,Pool,3/4/2023,11.0,4.378,Q1,0.399,0.257,2,3.4,1,0.4,2,1.7,2,5.5,1,4.378,11.0,5.4,0.228,4.94
286,23,a,A,Spatial,12,Pool,3/4/2023,4.3,1.604,Q3,0.369,0.319,0,0.0,0,0.0,2,1.0,1,3.3,1,1.604,4.3,2.0,0.309,1.83
287,24,a,A,Spatial,11,Pool,3/4/2023,5.8,2.124,Q3,0.366,0.205,0,0.0,0,0.0,2,4.7,1,1.1,1,2.124,5.8,3.4,0.196,1.30
288,24,a,A,Spatial,12,Pool,3/4/2023,2.8,0.987,Q2,0.347,0.895,0,0.0,1,2.0,1,0.9,0,0.0,1,0.987,2.8,2.4,0.863,0.16
