Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),First zone entered,Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
64,8,A,A,Spatial,8,Pool,25.6,6.169,Q4,0.241,0.148,1,1.2,0.411,1,3.2,1.075,2,13.6,2.603,2,7.5,2.080,1,25.5,15.9,0.134,11.03
65,1,A,A,Spatial,9,Pool,29.3,7.649,Q4,0.261,0.114,1,4.2,1.166,1,1.3,0.567,2,13.7,2.501,2,10.0,3.416,1,29.3,17.4,0.094,15.06
66,1,A,A,Spatial,10,Pool,2.0,0.577,Q3,0.284,0.875,0,0.0,0.000,0,0.0,0.000,1,2.0,0.577,0,0.0,0.000,1,2.0,1.6,0.876,0.11
67,2,A,A,Spatial,9,Pool,19.1,5.206,Q2,0.272,0.181,2,7.9,1.873,3,4.2,1.196,2,5.6,1.624,1,1.5,0.514,1,19.1,11.2,0.171,11.15
68,2,A,A,Spatial,10,Pool,9.4,2.944,Q1,0.314,0.420,1,4.8,1.359,1,2.4,0.955,1,2.1,0.630,0,0.0,0.000,1,9.4,6.8,0.368,5.19
69,3,A,A,Spatial,9,Pool,5.4,1.777,Q1,0.331,0.657,1,1.6,0.601,1,0.4,0.185,1,3.3,0.992,0,0.0,0.000,1,5.4,3.8,0.570,0.37
70,3,A,A,Spatial,10,Pool,2.6,0.952,Q4,0.365,0.905,0,0.0,0.000,0,0.0,0.000,1,1.1,0.350,1,1.5,0.602,1,2.6,2.2,0.821,0.17
71,4,A,A,Spatial,9,Pool,60.0,14.787,Q1,0.246,0.086,4,23.2,5.481,4,16.8,3.860,5,14.9,3.929,4,5.1,1.517,0,,32.8,,42.78
72,4,A,A,Spatial,10,Pool,9.7,2.818,Q2,0.289,0.305,0,0.0,0.000,1,2.3,0.549,2,3.5,1.182,1,4.0,1.087,1,9.7,6.9,0.269,3.09
73,5,A,A,Spatial,9,Pool,9.5,3.066,Q3,0.323,0.170,0,0.0,0.000,0,0.0,0.000,3,6.1,1.859,2,3.3,1.207,1,9.5,6.0,0.139,2.31
74,5,A,A,Spatial,10,Pool,13.0,4.262,Q2,0.327,0.275,0,0.0,0.000,1,3.3,1.097,2,7.7,2.559,1,2.0,0.606,1,13.0,8.6,0.248,3.06
75,6,A,A,Spatial,9,Pool,19.8,6.165,Q1,0.312,0.199,2,8.2,2.324,2,4.8,1.595,2,4.8,1.526,1,2.0,0.720,1,19.7,12.2,0.191,10.83
76,6,A,A,Spatial,10,Pool,8.7,2.769,Q4,0.317,0.306,0,0.0,0.000,0,0.0,0.000,1,6.9,2.166,1,1.8,0.603,1,8.7,6.1,0.273,2.46
77,7,A,A,Spatial,9,Pool,15.9,4.896,Q4,0.309,0.245,1,0.8,0.252,1,1.5,0.470,2,6.0,1.910,2,7.6,2.265,1,15.9,10.6,0.217,5.38
78,7,A,A,Spatial,10,Pool,60.0,14.594,Q1,0.243,0.036,4,13.2,3.947,3,7.9,2.245,4,11.3,2.899,3,27.6,5.504,0,,31.9,,37.34
79,8,A,A,Spatial,9,Pool,8.1,2.600,Q2,0.321,0.346,1,1.2,0.528,2,1.9,0.543,2,4.0,1.126,1,0.9,0.402,1,8.1,5.3,0.337,1.38
80,8,A,A,Spatial,10,Pool,21.8,6.696,Q3,0.307,0.077,2,2.3,0.772,2,2.7,0.882,3,11.7,3.320,2,5.2,1.721,1,21.8,12.4,0.070,7.24
81,1,A,A,Spatial,11,Pool,8.4,2.537,Q1,0.303,0.475,1,3.7,1.131,0,0.0,0.000,1,2.4,0.575,1,2.3,0.832,1,8.4,6.0,0.453,2.12
82,1,A,A,Spatial,12,Pool,5.6,1.643,Q2,0.293,0.627,1,0.3,0.104,1,3.6,1.004,1,1.2,0.350,1,0.5,0.184,1,5.6,5.0,0.566,1.13
83,2,A,A,Spatial,11,Pool,8.7,2.679,Q1,0.308,0.505,1,1.9,0.542,1,2.9,1.127,1,3.9,1.010,0,0.0,0.000,1,8.7,6.9,0.448,3.29
84,2,A,A,Spatial,12,Pool,5.9,1.518,Q4,0.257,0.634,0,0.0,0.000,0,0.0,0.000,1,1.9,0.560,1,4.0,0.958,1,5.9,4.8,0.578,1.93
85,3,A,A,Spatial,11,Pool,3.5,1.015,Q2,0.292,0.809,0,0.0,0.000,1,1.7,0.621,1,1.8,0.393,0,0.0,0.000,1,3.5,2.7,0.766,0.03
86,3,A,A,Spatial,12,Pool,4.5,1.273,Q4,0.285,0.568,0,0.0,0.000,0,0.0,0.000,1,1.2,0.355,1,3.3,0.918,1,4.5,3.1,0.457,1.00
87,4,A,A,Spatial,11,Pool,3.2,0.927,Q2,0.293,0.886,0,0.0,0.000,1,1.8,0.504,1,1.3,0.423,0,0.0,0.000,1,3.2,2.7,0.884,0.30
88,4,A,A,Spatial,12,Pool,20.8,5.771,Q4,0.278,0.095,0,0.0,0.000,2,3.1,0.983,5,13.9,4.257,3,3.8,0.531,1,20.8,11.6,0.084,5.93
89,5,A,A,Spatial,11,Pool,3.0,1.014,Q1,0.337,0.965,1,1.7,0.590,0,0.0,0.000,1,0.8,0.218,1,0.5,0.206,1,3.0,2.6,0.962,0.07
90,5,A,A,Spatial,12,Pool,11.8,3.913,Q2,0.331,0.263,0,0.0,0.000,2,3.5,1.206,3,7.1,2.420,1,1.2,0.287,1,11.8,8.4,0.259,2.39
91,6,A,A,Spatial,11,Pool,12.7,3.855,Q4,0.303,0.172,0,0.0,0.000,2,5.1,1.406,3,7.0,2.373,1,0.6,0.076,1,12.7,7.5,0.128,4.35
92,6,A,A,Spatial,12,Pool,2.7,0.771,Q2,0.290,0.875,0,0.0,0.000,1,0.9,0.169,1,1.7,0.602,0,0.0,0.000,1,2.6,2.2,0.814,0.24
93,7,A,A,Spatial,11,Pool,19.5,6.404,Q3,0.328,0.065,0,0.0,0.000,1,1.2,0.481,4,9.9,3.429,2,8.4,2.494,1,19.5,10.9,0.062,6.80
94,7,A,A,Spatial,12,Pool,9.1,1.710,Q2,0.187,0.359,0,0.0,0.000,1,1.1,0.111,1,8.0,1.599,0,0.0,0.000,1,9.1,6.3,0.354,1.78
95,8,A,A,Spatial,11,Pool,7.5,2.423,Q1,0.325,0.518,1,2.0,0.598,1,2.0,0.839,1,3.5,0.986,0,0.0,0.000,1,7.5,4.8,0.470,2.36
96,8,A,A,Spatial,12,Pool,4.0,1.144,Q4,0.285,0.621,0,0.0,0.000,0,0.0,0.000,1,2.4,0.631,1,1.6,0.513,1,4.0,3.2,0.600,0.70
