Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Rotations,Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
344,4,a,A,Spatial,16,Pool,3/1/2023,4.7,1.210,0.258,0,0.521,1,2.0,0.649,1,2.6,0.561,0,0.0,0.000,0,0.0,0.000,1,1.39
345,5,a,A,Spatial,15,Pool,3/1/2023,8.8,2.063,0.234,0,0.378,1,0.9,0.292,1,7.9,1.771,0,0.0,0.000,0,0.0,0.000,1,4.24
346,5,a,A,Spatial,16,Pool,3/1/2023,7.3,2.339,0.319,0,0.492,1,4.6,1.465,1,2.8,0.874,0,0.0,0.000,0,0.0,0.000,1,1.41
347,6,a,A,Spatial,15,Pool,3/1/2023,2.5,0.448,0.178,0,0.784,1,2.5,0.448,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.19
348,6,a,A,Spatial,16,Pool,3/1/2023,13.6,4.207,0.310,1,0.253,1,0.9,0.223,2,7.1,2.292,2,3.9,1.287,1,1.7,0.405,1,7.90
349,7,a,A,Spatial,15,Pool,3/1/2023,4.1,1.355,0.333,0,0.876,1,0.9,0.231,0,0.0,0.000,1,1.8,0.520,1,1.3,0.604,1,0.63
350,7,a,A,Spatial,16,Pool,3/1/2023,8.3,3.023,0.365,0,0.342,1,0.9,0.288,1,2.7,0.994,1,3.0,1.289,1,1.7,0.451,1,5.63
351,8,a,A,Spatial,15,Pool,3/1/2023,18.9,5.312,0.281,0,0.212,3,8.9,2.393,1,2.2,0.392,1,4.3,1.261,3,3.6,1.265,1,8.90
352,8,a,A,Spatial,16,Pool,3/1/2023,15.2,5.122,0.336,0,0.224,3,8.0,2.547,2,4.3,1.633,1,2.6,0.839,1,0.3,0.103,1,5.71
353,9,a,A,Spatial,15,Pool,3/1/2023,13.3,3.920,0.296,0,0.077,3,5.4,1.407,2,6.1,1.872,1,1.7,0.642,1,0.1,0.000,1,5.16
354,9,a,A,Spatial,16,Pool,3/1/2023,2.1,0.526,0.254,0,0.940,1,0.8,0.247,1,1.3,0.279,0,0.0,0.000,0,0.0,0.000,1,0.15
355,10,a,A,Spatial,15,Pool,3/1/2023,6.2,1.850,0.297,0,0.393,2,2.7,0.764,2,3.5,1.086,0,0.0,0.000,0,0.0,0.000,1,1.20
356,10,a,A,Spatial,16,Pool,3/1/2023,51.2,15.097,0.295,2,0.061,8,17.6,4.589,10,31.2,9.793,2,2.5,0.714,0,0.0,0.000,1,22.53
357,11,a,A,Spatial,15,Pool,3/1/2023,13.4,3.884,0.289,0,0.217,2,2.5,0.555,2,9.4,2.943,1,1.6,0.386,0,0.0,0.000,1,5.82
358,11,a,A,Spatial,16,Pool,3/1/2023,10.0,3.402,0.340,0,0.229,2,2.3,0.759,1,1.6,0.635,1,2.9,1.152,2,3.2,0.857,1,4.85
359,12,a,A,Spatial,15,Pool,3/1/2023,4.9,1.111,0.229,0,0.770,1,2.6,0.663,1,2.3,0.447,0,0.0,0.000,0,0.0,0.000,1,0.76
360,12,a,A,Spatial,16,Pool,3/1/2023,6.0,1.864,0.310,0,0.404,2,2.3,0.690,0,0.0,0.000,0,0.0,0.000,2,3.7,1.174,1,1.67
361,13,a,A,Spatial,15,Pool,3/1/2023,23.2,8.183,0.353,1,0.060,3,12.3,4.194,2,4.4,1.555,1,2.8,1.103,2,3.6,1.331,1,10.66
362,13,a,A,Spatial,16,Pool,3/1/2023,10.8,3.559,0.329,0,0.137,2,7.4,2.333,1,0.2,0.067,1,0.4,0.138,1,2.8,1.021,1,3.18
363,14,a,A,Spatial,15,Pool,3/1/2023,21.2,5.430,0.257,0,0.231,2,7.3,1.583,0,0.0,0.000,2,5.2,0.867,3,8.7,2.981,1,11.12
364,14,a,A,Spatial,16,Pool,3/1/2023,8.7,2.753,0.316,0,0.396,1,1.3,0.347,1,1.8,0.462,1,0.8,0.329,1,4.8,1.614,1,4.21
365,15,a,A,Spatial,15,Pool,3/1/2023,6.1,1.540,0.253,0,0.383,1,4.2,1.172,1,1.9,0.368,0,0.0,0.000,0,0.0,0.000,1,0.95
366,15,a,A,Spatial,16,Pool,3/1/2023,14.3,4.578,0.320,0,0.214,4,7.7,2.565,1,1.6,0.457,0,0.0,0.000,3,5.0,1.556,1,3.37
367,16,a,A,Spatial,15,Pool,3/1/2023,13.1,4.095,0.312,0,0.293,2,4.9,1.480,0,0.0,0.000,2,4.4,1.414,3,3.8,1.201,1,5.93
368,16,a,A,Spatial,16,Pool,3/1/2023,33.5,10.222,0.305,0,0.052,6,13.7,3.872,3,7.6,2.297,2,4.3,1.625,5,7.9,2.428,1,13.90
369,17,a,A,Spatial,15,Pool,3/1/2023,12.8,4.901,0.384,0,0.224,3,5.1,1.974,1,2.6,1.065,0,0.0,0.000,2,5.1,1.862,1,4.88
370,17,a,A,Spatial,16,Pool,3/1/2023,23.5,8.710,0.371,0,0.121,5,10.1,3.353,3,5.5,2.108,1,2.1,0.905,3,5.8,2.344,1,8.89
371,18,a,A,Spatial,15,Pool,3/1/2023,7.7,2.211,0.287,0,0.303,2,2.0,0.596,2,5.7,1.615,0,0.0,0.000,0,0.0,0.000,1,2.07
372,18,a,A,Spatial,16,Pool,3/1/2023,6.6,1.563,0.237,0,0.487,2,2.6,0.492,2,4.0,1.071,0,0.0,0.000,0,0.0,0.000,1,1.59
373,19,a,A,Spatial,15,Pool,3/1/2023,7.5,2.670,0.354,0,0.273,1,0.9,0.341,1,3.0,0.960,1,3.6,1.369,0,0.0,0.000,1,5.17
374,19,a,A,Spatial,16,Pool,3/1/2023,3.2,0.779,0.246,0,0.570,1,3.2,0.779,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.56
375,20,a,A,Spatial,15,Pool,3/1/2023,13.3,3.763,0.282,0,0.231,1,0.8,0.264,1,4.2,1.082,1,4.2,1.288,1,4.1,1.129,1,10.28
376,20,a,A,Spatial,16,Pool,3/1/2023,7.6,2.116,0.278,0,0.451,1,5.6,1.555,1,2.0,0.561,0,0.0,0.000,0,0.0,0.000,1,1.28
377,21,a,A,Spatial,15,Pool,3/1/2023,10.9,3.382,0.311,0,0.372,1,1.4,0.358,3,3.3,1.141,3,6.1,1.883,0,0.0,0.000,1,5.24
378,21,a,A,Spatial,16,Pool,3/1/2023,11.7,3.573,0.305,0,0.289,2,2.8,0.688,2,8.9,2.885,0,0.0,0.000,0,0.0,0.000,1,4.78
379,22,a,A,Spatial,15,Pool,3/1/2023,9.3,2.758,0.298,0,0.432,1,1.1,0.352,2,3.0,0.472,2,5.2,1.934,0,0.0,0.000,1,5.37
380,22,a,A,Spatial,16,Pool,3/1/2023,12.2,4.230,0.348,0,0.146,3,5.7,2.019,1,4.9,1.892,0,0.0,0.000,2,1.6,0.318,1,5.12
381,23,a,A,Spatial,15,Pool,3/1/2023,6.1,2.098,0.344,0,0.461,1,0.9,0.282,1,2.0,0.543,1,2.7,1.077,1,0.4,0.196,1,3.50
382,23,a,A,Spatial,16,Pool,3/1/2023,3.7,1.244,0.333,0,0.828,1,1.4,0.471,0,0.0,0.000,0,0.0,0.000,1,2.3,0.774,1,0.60
383,24,a,A,Spatial,15,Pool,3/1/2023,2.5,0.489,0.198,0,0.526,1,2.5,0.489,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.29
384,24,a,A,Spatial,16,Pool,3/1/2023,27.6,8.589,0.311,1,0.039,5,20.0,6.166,4,7.6,2.423,0,0.0,0.000,0,0.0,0.000,1,8.75
385,1,a,A,Spatial,17,Pool,3/1/2023,6.9,1.851,0.269,0,0.619,1,3.6,0.812,0,0.0,0.000,1,2.4,0.685,1,0.9,0.354,1,1.00
386,1,a,A,Spatial,18,Pool,3/1/2023,7.0,1.930,0.277,0,0.428,1,2.3,0.506,0,0.0,0.000,0,0.0,0.000,1,4.6,1.424,1,2.62
387,2,a,A,Spatial,17,Pool,3/1/2023,11.0,3.596,0.327,0,0.192,1,4.6,1.504,1,6.4,2.091,0,0.0,0.000,0,0.0,0.000,1,5.20
388,2,a,A,Spatial,18,Pool,3/1/2023,10.9,3.331,0.305,0,0.281,2,2.9,0.690,3,5.4,1.875,1,1.7,0.530,1,0.9,0.236,1,4.63
389,3,a,A,Spatial,17,Pool,3/1/2023,4.0,0.778,0.192,0,0.496,2,3.6,0.680,1,0.4,0.098,0,0.0,0.000,0,0.0,0.000,1,0.68
390,3,a,A,Spatial,18,Pool,3/1/2023,7.4,2.241,0.304,0,0.528,2,2.6,0.725,1,1.2,0.471,2,2.2,0.618,2,1.4,0.428,1,1.47
391,4,a,A,Spatial,17,Pool,3/1/2023,5.6,1.601,0.285,0,0.517,1,1.1,0.259,0,0.0,0.000,0,0.0,0.000,1,4.6,1.341,1,1.51
392,4,a,A,Spatial,18,Pool,3/1/2023,19.5,6.144,0.316,1,0.179,2,7.6,2.148,2,6.4,2.136,1,2.7,0.956,1,2.7,0.903,1,8.18
393,5,a,A,Spatial,17,Pool,3/1/2023,8.6,2.851,0.332,0,0.388,1,0.7,0.232,1,2.0,0.883,1,4.0,1.245,1,1.9,0.492,1,6.25
394,5,a,A,Spatial,18,Pool,3/1/2023,4.6,1.342,0.293,0,0.493,1,3.4,1.075,1,1.1,0.267,0,0.0,0.000,0,0.0,0.000,1,0.55
395,6,a,A,Spatial,17,Pool,3/1/2023,2.7,0.566,0.207,0,0.932,1,1.2,0.325,0,0.0,0.000,0,0.0,0.000,1,1.5,0.241,1,0.22
396,6,a,A,Spatial,18,Pool,3/1/2023,15.5,4.166,0.269,0,0.249,2,9.9,2.494,2,5.6,1.673,0,0.0,0.000,0,0.0,0.000,1,4.06
397,7,a,A,Spatial,17,Pool,3/1/2023,8.7,2.783,0.319,0,0.426,1,6.6,2.041,0,0.0,0.000,1,2.2,0.741,0,0.0,0.000,1,1.50
398,7,a,A,Spatial,18,Pool,3/1/2023,5.8,2.067,0.357,0,0.579,1,1.1,0.271,1,2.0,0.771,1,2.8,1.024,0,0.0,0.000,1,2.36
399,8,a,A,Spatial,17,Pool,3/1/2023,5.4,1.396,0.258,0,0.876,1,1.7,0.410,0,0.0,0.000,1,2.6,0.685,1,1.1,0.301,1,0.59
400,8,a,A,Spatial,18,Pool,3/1/2023,6.6,1.756,0.265,0,0.568,1,4.2,0.988,1,2.4,0.768,0,0.0,0.000,0,0.0,0.000,1,1.03
401,9,a,A,Spatial,17,Pool,3/1/2023,14.1,3.948,0.280,1,0.084,5,6.3,1.738,2,2.4,0.608,1,0.2,0.031,4,5.3,1.570,1,3.99
402,9,a,A,Spatial,18,Pool,3/1/2023,31.3,8.992,0.288,3,0.142,4,12.2,3.526,3,5.3,1.590,4,7.9,2.145,4,5.8,1.731,1,13.15
403,10,a,A,Spatial,17,Pool,3/1/2023,25.9,6.409,0.247,1,0.154,3,7.9,2.014,3,18.0,4.395,0,0.0,0.000,0,0.0,0.000,1,11.44
404,10,a,A,Spatial,18,Pool,3/1/2023,16.2,4.924,0.304,0,0.107,3,9.0,2.352,2,5.8,2.032,1,1.3,0.512,1,0.1,0.027,1,6.34
405,11,a,A,Spatial,17,Pool,3/1/2023,16.6,4.618,0.278,0,0.136,3,9.7,2.603,2,6.6,1.890,0,0.0,0.000,1,0.3,0.124,1,5.54
406,11,a,A,Spatial,18,Pool,3/1/2023,15.9,5.032,0.316,0,0.190,2,4.6,1.554,2,11.3,3.479,0,0.0,0.000,0,0.0,0.000,1,6.31
407,12,a,A,Spatial,17,Pool,3/1/2023,13.4,4.019,0.299,0,0.330,1,8.8,2.558,1,2.9,1.068,1,1.7,0.393,0,0.0,0.000,1,3.40
408,12,a,A,Spatial,18,Pool,3/1/2023,20.7,6.058,0.292,0,0.118,3,11.1,3.345,3,9.6,2.713,0,0.0,0.000,0,0.0,0.000,1,7.21
409,13,a,A,Spatial,17,Pool,3/1/2023,13.8,3.895,0.282,0,0.115,3,11.3,3.322,2,1.7,0.489,0,0.0,0.000,1,0.8,0.085,1,3.12
410,13,a,A,Spatial,18,Pool,3/1/2023,2.9,0.887,0.310,0,0.976,1,0.9,0.303,0,0.0,0.000,0,0.0,0.000,1,1.9,0.585,1,0.20
411,14,a,A,Spatial,17,Pool,3/1/2023,9.0,2.567,0.285,0,0.254,1,0.9,0.250,0,0.0,0.000,1,3.2,0.978,2,4.9,1.339,1,5.28
412,14,a,A,Spatial,18,Pool,3/1/2023,13.3,4.660,0.351,0,0.206,2,3.7,1.178,2,3.5,1.454,2,5.0,1.579,1,1.1,0.450,1,7.11
413,15,a,A,Spatial,17,Pool,3/1/2023,15.5,5.448,0.352,0,0.158,2,6.6,2.291,1,1.6,0.670,1,4.4,1.637,2,2.9,0.849,1,7.55
414,15,a,A,Spatial,18,Pool,3/1/2023,8.7,2.673,0.307,0,0.246,1,2.4,0.810,1,6.3,1.863,0,0.0,0.000,0,0.0,0.000,1,3.42
415,16,a,A,Spatial,17,Pool,3/1/2023,10.9,3.243,0.298,0,0.387,1,1.4,0.406,0,0.0,0.000,1,4.3,1.109,1,5.1,1.728,1,5.88
416,16,a,A,Spatial,18,Pool,3/1/2023,6.2,1.517,0.246,0,0.428,2,2.6,0.757,2,3.5,0.761,0,0.0,0.000,0,0.0,0.000,1,1.49
417,17,a,A,Spatial,17,Pool,3/1/2023,21.8,8.472,0.388,0,0.108,2,3.4,1.237,5,7.5,2.840,4,7.0,2.871,1,3.9,1.525,1,12.87
418,17,a,A,Spatial,18,Pool,3/1/2023,28.6,9.694,0.339,0,0.035,5,9.8,3.341,5,15.7,5.143,2,3.1,1.210,0,0.0,0.000,1,14.41
419,18,a,A,Spatial,17,Pool,3/1/2023,13.3,3.618,0.271,1,0.187,3,8.2,2.438,0,0.0,0.000,0,0.0,0.000,3,5.2,1.179,1,4.18
420,18,a,A,Spatial,18,Pool,3/1/2023,9.6,2.264,0.237,0,0.120,3,7.0,1.735,0,0.0,0.000,0,0.0,0.000,2,2.5,0.528,1,3.05
421,19,a,A,Spatial,17,Pool,3/1/2023,9.4,3.087,0.327,0,0.377,1,4.9,1.465,0,0.0,0.000,1,1.4,0.352,1,3.1,1.269,1,3.08
422,19,a,A,Spatial,18,Pool,3/1/2023,9.2,2.791,0.302,0,0.388,1,7.1,2.028,0,0.0,0.000,0,0.0,0.000,1,2.2,0.763,1,1.28
423,20,a,A,Spatial,17,Pool,3/1/2023,10.8,2.968,0.274,0,0.221,1,2.9,0.661,1,0.7,0.241,1,4.1,1.111,1,3.2,0.956,1,6.42
424,20,a,A,Spatial,18,Pool,3/1/2023,12.6,3.075,0.244,0,0.287,4,4.9,1.237,3,5.8,1.414,1,0.4,0.103,2,1.5,0.321,1,2.66
425,21,a,A,Spatial,17,Pool,3/1/2023,2.5,0.738,0.297,0,0.834,1,0.6,0.186,0,0.0,0.000,0,0.0,0.000,1,1.9,0.552,1,0.38
426,21,a,A,Spatial,18,Pool,3/1/2023,11.4,3.586,0.314,0,0.308,3,7.1,2.210,2,1.2,0.471,1,2.2,0.701,1,0.9,0.204,1,2.06
427,22,a,A,Spatial,17,Pool,3/1/2023,7.6,2.564,0.337,0,0.395,2,1.9,0.650,3,4.0,1.143,1,1.7,0.771,0,0.0,0.000,1,3.12
428,22,a,A,Spatial,18,Pool,3/1/2023,21.1,7.349,0.349,0,0.133,2,9.0,2.940,3,6.7,2.467,2,5.3,1.943,0,0.0,0.000,1,11.05
429,23,a,A,Spatial,17,Pool,3/1/2023,12.2,4.374,0.358,0,0.194,2,1.5,0.473,2,2.6,0.855,2,3.5,1.350,2,4.6,1.697,1,7.75
430,23,a,A,Spatial,18,Pool,3/1/2023,10.8,4.340,0.403,0,0.154,2,3.5,1.635,1,2.4,0.949,1,3.6,1.469,2,1.2,0.286,1,5.92
431,24,a,A,Spatial,17,Pool,3/1/2023,1.0,0.062,0.064,0,0.892,1,1.0,0.062,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.02
432,24,a,A,Spatial,18,Pool,3/1/2023,28.3,9.208,0.326,4,0.121,5,6.8,2.023,5,16.2,5.224,1,3.6,1.493,1,1.7,0.468,1,12.63
433,1,a,A,Spatial,19,Pool,3/2/2023,8.3,2.238,0.269,0,0.395,2,3.6,0.986,1,3.7,0.998,0,0.0,0.000,1,0.9,0.254,1,2.10
434,1,a,A,Spatial,20,Pool,3/2/2023,57.5,17.787,0.309,0,0.068,8,16.2,4.933,9,32.0,10.084,3,8.0,2.381,1,1.3,0.389,1,26.56
435,2,a,A,Spatial,19,Pool,3/2/2023,9.6,2.933,0.305,0,0.379,2,3.6,1.176,2,4.8,1.719,1,1.3,0.039,0,0.0,0.000,1,3.08
436,2,a,A,Spatial,20,Pool,3/2/2023,7.1,2.272,0.320,0,0.422,1,5.2,1.641,1,1.9,0.631,0,0.0,0.000,0,0.0,0.000,1,1.31
437,3,a,A,Spatial,19,Pool,3/2/2023,4.0,1.008,0.251,0,0.602,1,2.6,0.776,0,0.0,0.000,0,0.0,0.000,1,1.4,0.232,1,0.50
438,3,a,A,Spatial,20,Pool,3/2/2023,1.4,0.220,0.157,0,0.890,1,1.4,0.220,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.05
439,4,a,A,Spatial,19,Pool,3/2/2023,6.0,1.574,0.263,0,0.445,2,2.7,0.808,2,3.2,0.766,0,0.0,0.000,0,0.0,0.000,1,1.10
440,4,a,A,Spatial,20,Pool,3/2/2023,14.9,4.654,0.312,0,0.276,2,2.9,0.854,3,5.4,1.887,2,6.6,1.912,0,0.0,0.000,1,7.44
441,5,a,A,Spatial,19,Pool,3/2/2023,5.1,1.085,0.213,0,0.229,1,5.1,1.085,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.93
442,5,a,A,Spatial,20,Pool,3/2/2023,19.8,6.505,0.329,0,0.186,1,1.1,0.305,3,11.3,3.986,3,7.4,2.213,0,0.0,0.000,1,13.15
443,6,a,A,Spatial,19,Pool,3/2/2023,7.2,2.100,0.290,0,0.595,1,1.7,0.393,1,2.8,1.012,1,2.7,0.695,0,0.0,0.000,1,2.80
444,6,a,A,Spatial,20,Pool,3/2/2023,18.0,5.371,0.299,0,0.097,3,4.8,1.466,1,11.1,3.426,0,0.0,0.000,2,2.1,0.479,1,8.39
445,7,a,A,Spatial,19,Pool,3/2/2023,1.0,0.113,0.109,0,0.911,1,1.0,0.113,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.04
446,7,a,A,Spatial,20,Pool,3/2/2023,14.7,4.937,0.336,1,0.146,3,5.4,1.933,2,6.5,2.172,0,0.0,0.000,1,2.7,0.831,1,5.81
447,8,a,A,Spatial,19,Pool,3/2/2023,3.6,0.861,0.239,0,0.580,1,3.6,0.861,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.49
448,8,a,A,Spatial,20,Pool,3/2/2023,11.8,3.205,0.272,0,0.387,1,1.7,0.451,2,7.5,2.198,2,2.6,0.556,0,0.0,0.000,1,4.02
449,9,a,A,Spatial,19,Pool,3/2/2023,20.3,5.412,0.267,3,0.201,2,1.9,0.528,2,7.0,1.960,3,6.9,1.898,3,4.5,1.026,1,11.41
450,9,a,A,Spatial,20,Pool,3/2/2023,5.4,1.677,0.310,0,0.639,1,1.2,0.422,0,0.0,0.000,1,4.2,1.228,1,0.1,0.027,1,2.43
451,10,a,A,Spatial,19,Pool,3/2/2023,19.7,3.068,0.156,1,0.346,1,4.3,0.801,1,15.4,2.267,0,0.0,0.000,0,0.0,0.000,1,8.66
452,10,a,A,Spatial,20,Pool,3/2/2023,16.9,4.050,0.239,1,0.239,2,7.1,1.768,2,9.8,2.282,0,0.0,0.000,0,0.0,0.000,1,6.43
453,11,a,A,Spatial,19,Pool,3/2/2023,4.3,0.735,0.169,0,0.657,1,4.3,0.735,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.76
454,11,a,A,Spatial,20,Pool,3/2/2023,45.5,13.887,0.305,1,0.065,4,26.5,7.386,4,11.7,4.010,3,6.0,2.080,1,1.2,0.411,1,19.12
455,12,a,A,Spatial,19,Pool,3/2/2023,55.8,16.469,0.295,1,0.078,4,14.2,4.950,6,16.7,5.480,5,22.6,5.442,2,2.2,0.598,1,37.54
456,12,a,A,Spatial,20,Pool,3/2/2023,4.4,1.336,0.302,0,0.759,1,1.2,0.350,1,3.2,0.986,0,0.0,0.000,0,0.0,0.000,1,0.82
457,13,a,A,Spatial,19,Pool,3/2/2023,8.3,2.459,0.297,0,0.538,1,2.3,0.702,0,0.0,0.000,1,2.4,0.513,1,3.6,1.244,1,3.66
458,13,a,A,Spatial,20,Pool,3/2/2023,6.8,1.944,0.284,0,0.381,2,2.6,0.758,0,0.0,0.000,0,0.0,0.000,2,4.2,1.187,1,2.26
459,14,a,A,Spatial,19,Pool,3/2/2023,12.1,3.871,0.319,0,0.332,1,3.4,1.049,2,1.5,0.570,3,6.0,1.921,1,1.2,0.331,1,5.90
460,14,a,A,Spatial,20,Pool,3/2/2023,5.0,1.259,0.252,0,0.799,1,1.6,0.377,1,3.4,0.883,0,0.0,0.000,0,0.0,0.000,1,0.81
461,15,a,A,Spatial,19,Pool,3/2/2023,9.6,2.550,0.265,0,0.338,2,4.2,0.906,0,0.0,0.000,0,0.0,0.000,2,5.4,1.645,1,2.60
462,15,a,A,Spatial,20,Pool,3/2/2023,6.1,1.649,0.270,0,0.548,1,1.8,0.573,1,4.3,1.076,0,0.0,0.000,0,0.0,0.000,1,2.06
463,16,a,A,Spatial,19,Pool,3/2/2023,22.1,6.197,0.280,0,0.079,3,16.6,4.350,1,4.4,1.615,0,0.0,0.000,1,1.1,0.232,1,7.11
464,16,a,A,Spatial,20,Pool,3/2/2023,10.2,2.705,0.264,0,0.303,1,8.3,2.193,0,0.0,0.000,0,0.0,0.000,1,1.9,0.512,1,1.98
465,17,a,A,Spatial,19,Pool,3/2/2023,60.0,21.152,0.353,3,0.074,6,12.5,4.451,11,23.7,8.417,8,17.7,6.362,4,6.0,1.922,0,
466,17,a,A,Spatial,20,Pool,3/2/2023,32.1,11.152,0.347,1,0.094,3,5.8,1.847,5,13.6,4.702,4,12.7,4.603,0,0.0,0.000,1,20.48
467,18,a,A,Spatial,19,Pool,3/2/2023,17.9,5.399,0.301,0,0.201,2,4.6,1.500,3,6.8,2.100,2,6.6,1.799,0,0.0,0.000,1,7.55
468,18,a,A,Spatial,20,Pool,3/2/2023,12.0,3.482,0.291,0,0.136,2,9.6,2.916,1,1.3,0.376,0,0.0,0.000,1,1.0,0.190,1,2.76
469,19,a,A,Spatial,19,Pool,3/2/2023,8.0,1.803,0.227,0,0.382,2,1.4,0.406,2,6.6,1.397,0,0.0,0.000,0,0.0,0.000,1,2.66
470,19,a,A,Spatial,20,Pool,3/2/2023,10.7,3.665,0.341,0,0.226,1,3.9,1.125,0,0.0,0.000,1,3.3,1.282,2,3.5,1.259,1,5.36
471,20,a,A,Spatial,19,Pool,3/2/2023,11.4,3.098,0.272,0,0.251,2,2.0,0.543,1,0.8,0.123,1,3.7,1.212,2,4.9,1.220,1,6.81
472,20,a,A,Spatial,20,Pool,3/2/2023,2.4,0.560,0.230,0,0.888,1,2.4,0.560,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.19
473,21,a,A,Spatial,19,Pool,3/2/2023,25.0,7.630,0.305,1,0.106,2,5.8,1.633,5,11.7,3.847,3,7.5,2.150,0,0.0,0.000,1,16.03
474,21,a,A,Spatial,20,Pool,3/2/2023,23.6,7.872,0.334,0,0.157,5,8.8,2.683,3,6.3,2.359,2,2.7,0.933,3,5.7,1.897,1,8.13
475,22,a,A,Spatial,19,Pool,3/2/2023,18.9,6.055,0.320,1,0.077,3,8.5,2.383,2,9.0,3.284,0,0.0,0.000,1,1.4,0.389,1,8.16
476,22,a,A,Spatial,20,Pool,3/2/2023,5.1,1.216,0.239,0,0.440,1,0.7,0.196,1,4.4,1.020,0,0.0,0.000,0,0.0,0.000,1,1.94
477,23,a,A,Spatial,19,Pool,3/2/2023,40.8,13.558,0.332,4,0.085,2,4.6,1.635,4,11.8,3.188,7,15.5,5.047,4,9.0,3.688,1,32.17
478,23,a,A,Spatial,20,Pool,3/2/2023,21.1,6.967,0.331,0,0.085,4,8.9,3.169,1,3.1,1.051,0,0.0,0.000,3,9.1,2.747,1,8.72
479,24,a,A,Spatial,19,Pool,3/2/2023,9.8,2.780,0.283,0,0.259,1,6.2,1.813,1,3.6,0.966,0,0.0,0.000,0,0.0,0.000,1,3.10
480,24,a,A,Spatial,20,Pool,3/2/2023,9.9,2.945,0.298,0,0.404,1,7.4,2.044,0,0.0,0.000,0,0.0,0.000,1,2.5,0.901,1,2.09
481,1,a,A,Spatial,21,Pool,3/2/2023,7.3,2.012,0.276,0,0.562,1,1.8,0.427,0,0.0,0.000,1,2.2,0.434,1,3.3,1.151,1,3.04
482,1,a,A,Spatial,22,Pool,3/2/2023,7.5,2.365,0.314,0,0.476,1,0.8,0.250,1,1.3,0.460,1,5.4,1.655,0,0.0,0.000,1,3.04
483,2,a,A,Spatial,21,Pool,3/2/2023,9.3,2.957,0.316,0,0.267,2,6.4,2.028,0,0.0,0.000,0,0.0,0.000,2,3.0,0.928,1,2.75
484,2,a,A,Spatial,22,Pool,3/2/2023,8.9,2.671,0.302,0,0.443,1,6.2,1.735,1,2.7,0.936,0,0.0,0.000,0,0.0,0.000,1,1.23
485,3,a,A,Spatial,21,Pool,3/2/2023,3.8,0.870,0.227,0,0.626,1,1.3,0.342,0,0.0,0.000,0,0.0,0.000,1,2.5,0.528,1,0.81
486,3,a,A,Spatial,22,Pool,3/2/2023,7.3,2.050,0.280,0,0.358,1,1.2,0.399,1,6.1,1.652,0,0.0,0.000,0,0.0,0.000,1,2.36
487,4,a,A,Spatial,21,Pool,3/2/2023,6.8,1.886,0.277,0,0.600,1,0.9,0.279,0,0.0,0.000,1,0.6,0.182,2,5.3,1.425,1,2.28
488,4,a,A,Spatial,22,Pool,3/2/2023,2.4,0.496,0.204,0,0.933,1,2.4,0.496,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.14
489,5,a,A,Spatial,21,Pool,3/2/2023,12.5,4.232,0.338,0,0.216,2,5.9,2.072,3,3.8,1.067,1,2.9,1.093,0,0.0,0.000,1,5.23
490,5,a,A,Spatial,22,Pool,3/2/2023,20.4,7.388,0.362,1,0.149,4,4.5,1.679,3,6.7,2.154,3,2.6,1.055,4,6.7,2.500,1,9.31
491,6,a,A,Spatial,21,Pool,3/2/2023,58.9,18.015,0.306,1,0.030,7,38.5,11.529,3,8.6,2.647,1,0.2,0.063,4,11.6,3.775,1,21.91
492,6,a,A,Spatial,22,Pool,3/2/2023,14.3,4.283,0.299,0,0.159,2,12.3,3.766,1,0.9,0.291,0,0.0,0.000,1,1.1,0.227,1,3.73
493,7,a,A,Spatial,21,Pool,3/2/2023,14.3,5.703,0.400,0,0.208,2,4.5,1.784,2,6.2,2.823,2,2.6,0.764,1,0.9,0.332,1,5.81
494,7,a,A,Spatial,22,Pool,3/2/2023,17.8,5.592,0.315,0,0.150,3,10.7,3.293,1,2.9,1.017,0,0.0,0.000,2,4.1,1.282,1,5.69
495,8,a,A,Spatial,21,Pool,3/2/2023,13.0,3.178,0.245,0,0.244,1,8.8,2.155,1,2.4,0.487,1,1.6,0.482,1,0.2,0.054,1,3.02
496,8,a,A,Spatial,22,Pool,3/2/2023,7.5,2.060,0.274,0,0.598,1,2.4,0.715,0,0.0,0.000,1,2.3,0.375,1,2.8,0.970,1,2.02
