Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Time,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
174,9,A,A,Spatial,8,Pool,9/2/2023,10:03,5.5,1.909,0.345,0.478,0,0.0,0.000,0,0.0,0.000,1,1.3,0.454,1,4.2,1.456,1,2.53
175,10,A,A,Spatial,7,Pool,9/2/2023,10:03,9.3,2.413,0.260,0.325,1,0.8,0.185,2,4.7,1.272,1,3.7,0.956,0,0.0,0.000,1,2.83
176,10,A,A,Spatial,8,Pool,9/2/2023,10:04,11.2,3.041,0.270,0.196,0,0.0,0.000,0,0.0,0.000,2,9.6,2.794,2,1.7,0.247,1,3.09
177,11,A,A,Spatial,7,Pool,9/2/2023,10:04,14.4,3.694,0.257,0.248,0,0.0,0.000,0,0.0,0.000,3,3.6,0.974,3,10.8,2.719,1,5.48
178,11,A,A,Spatial,8,Pool,9/2/2023,10:05,7.6,2.593,0.343,0.502,1,3.0,1.074,1,0.3,0.090,1,4.3,1.429,0,0.0,0.000,1,1.58
179,12,A,A,Spatial,7,Pool,9/2/2023,10:05,34.1,9.311,0.273,0.097,2,4.0,1.271,5,23.2,5.801,3,6.8,2.238,0,0.0,0.000,1,22.61
180,12,A,A,Spatial,8,Pool,9/2/2023,10:06,12.3,3.811,0.310,0.186,1,1.2,0.533,2,4.9,1.425,2,4.9,1.621,1,1.2,0.232,1,6.28
181,13,A,A,Spatial,7,Pool,9/2/2023,10:07,11.9,4.534,0.380,0.253,1,0.3,0.092,1,0.4,0.161,3,5.5,2.156,3,5.8,2.125,1,2.71
182,13,A,A,Spatial,8,Pool,9/2/2023,10:07,7.9,2.867,0.363,0.398,1,3.9,1.498,1,0.3,0.119,1,3.7,1.250,0,0.0,0.000,1,2.52
183,14,A,A,Spatial,7,Pool,9/2/2023,10:07,38.9,11.396,0.293,0.097,4,13.2,3.863,4,9.2,2.880,3,10.1,2.625,2,6.4,2.028,1,21.38
184,14,A,A,Spatial,8,Pool,9/2/2023,10:08,10.9,2.741,0.251,0.270,1,0.7,0.169,1,0.7,0.189,3,4.7,1.062,3,4.9,1.320,1,2.98
185,15,A,A,Spatial,7,Pool,9/2/2023,10:09,60.0,19.793,0.330,0.027,6,16.3,5.595,8,27.1,8.548,5,12.1,3.950,3,4.5,1.700,0,41.09
186,15,A,A,Spatial,8,Pool,9/2/2023,10:11,40.9,13.797,0.337,0.083,4,12.0,3.757,5,9.9,3.288,5,13.4,4.610,3,5.6,2.141,1,22.32
187,16,A,A,Spatial,7,Pool,9/2/2023,10:13,12.6,3.036,0.240,0.296,0,0.0,0.000,0,0.0,0.000,1,8.1,1.942,1,4.5,1.094,1,2.32
188,16,A,A,Spatial,8,Pool,9/2/2023,10:14,13.7,4.037,0.295,0.163,1,1.5,0.454,2,6.2,1.766,2,4.5,1.206,1,1.5,0.611,1,5.32
189,17,A,A,Spatial,7,Pool,9/2/2023,10:14,49.0,15.472,0.316,0.060,6,19.3,5.922,6,17.4,5.593,3,5.5,1.788,3,6.8,2.169,1,35.45
190,17,A,A,Spatial,8,Pool,9/2/2023,10:16,7.1,2.192,0.310,0.312,1,2.4,0.856,1,3.6,0.974,1,0.9,0.295,1,0.2,0.067,1,4.29
191,18,A,A,Spatial,7,Pool,9/2/2023,10:16,4.7,1.400,0.300,0.775,1,1.5,0.666,2,2.1,0.413,1,1.0,0.321,0,0.0,0.000,1,1.46
192,18,A,A,Spatial,8,Pool,9/2/2023,10:16,5.0,1.563,0.314,0.532,0,0.0,0.000,0,0.0,0.000,1,3.3,0.980,1,1.6,0.583,1,0.55
193,19,A,A,Spatial,7,Pool,9/2/2023,10:17,9.0,1.212,0.135,0.458,0,0.0,0.000,0,0.0,0.000,1,2.0,0.564,1,7.0,0.647,1,2.61
194,19,A,A,Spatial,8,Pool,9/2/2023,10:17,5.1,1.492,0.295,0.678,0,0.0,0.000,1,1.7,0.552,1,3.3,0.940,0,0.0,0.000,1,0.59
195,20,A,A,Spatial,7,Pool,9/2/2023,10:17,9.6,2.963,0.310,0.329,0,0.0,0.000,0,0.0,0.000,2,4.4,1.292,2,5.2,1.671,1,2.45
196,20,A,A,Spatial,8,Pool,9/2/2023,10:18,8.7,2.462,0.282,0.190,1,0.4,0.083,2,3.2,1.009,2,5.1,1.370,0,0.0,0.000,1,2.56
197,21,A,A,Spatial,7,Pool,9/2/2023,10:18,54.3,16.319,0.301,0.079,4,11.6,3.884,3,8.8,2.967,4,15.7,3.817,4,18.1,5.652,1,28.75
198,21,A,A,Spatial,8,Pool,9/2/2023,10:20,16.9,3.778,0.223,0.300,0,0.0,0.000,0,0.0,0.000,1,9.7,2.157,1,7.2,1.621,1,4.20
199,22,A,A,Spatial,7,Pool,9/2/2023,10:20,60.0,17.616,0.294,0.034,7,20.1,5.981,4,16.7,4.888,2,6.8,1.803,5,16.4,4.944,0,41.46
200,22,A,A,Spatial,8,Pool,9/2/2023,10:22,16.0,4.676,0.292,0.227,0,0.0,0.000,1,5.2,1.558,2,7.0,2.029,1,3.8,1.089,1,6.37
201,23,A,A,Spatial,7,Pool,9/2/2023,10:23,4.6,1.167,0.256,0.665,0,0.0,0.000,0,0.0,0.000,1,0.7,0.211,1,3.9,0.956,1,0.69
202,23,A,A,Spatial,8,Pool,9/2/2023,10:23,7.8,2.387,0.306,0.366,1,3.0,0.779,1,2.9,1.089,1,1.9,0.519,0,0.0,0.000,1,4.20
203,24,A,A,Spatial,7,Pool,9/2/2023,10:23,60.0,15.222,0.254,0.048,6,33.1,8.492,5,20.4,4.332,1,3.8,1.297,2,2.7,1.101,0,49.90
204,24,A,A,Spatial,8,Pool,9/2/2023,10:25,3.9,0.976,0.253,0.778,0,0.0,0.000,0,0.0,0.000,1,0.7,0.204,1,3.1,0.772,1,0.65
205,25,A,A,Spatial,7,Pool,9/2/2023,10:26,11.2,3.765,0.337,0.301,0,0.0,0.000,0,0.0,0.000,2,7.2,2.273,2,3.9,1.492,1,2.78
206,25,A,A,Spatial,8,Pool,9/2/2023,10:26,7.5,2.517,0.334,0.439,1,0.7,0.199,1,3.0,0.969,2,1.6,0.574,2,2.3,0.775,1,2.28
207,26,A,A,Spatial,7,Pool,9/2/2023,10:27,11.3,3.895,0.346,0.310,1,2.3,0.639,1,2.9,1.267,2,1.9,0.783,1,4.1,1.205,1,5.62
208,26,A,A,Spatial,8,Pool,9/2/2023,10:28,27.2,8.666,0.318,0.105,2,3.5,1.029,3,7.3,2.613,3,7.4,2.424,3,9.0,2.600,1,14.00
209,1,A,A,Spatial,9,Pool,9/2/2023,10:31,6.7,2.064,0.310,0.518,0,0.0,0.000,0,0.0,0.000,1,2.3,0.659,1,4.4,1.405,1,1.89
210,1,A,A,Spatial,10,Pool,9/2/2023,10:31,6.7,1.916,0.288,0.334,0,0.0,0.000,0,0.0,0.000,2,4.5,1.423,1,2.1,0.493,1,1.31
211,2,A,A,Spatial,9,Pool,9/2/2023,10:32,6.2,1.962,0.318,0.548,1,2.4,0.898,1,2.2,0.569,1,1.1,0.285,1,0.5,0.209,1,2.96
212,2,A,A,Spatial,10,Pool,9/2/2023,10:32,17.2,6.051,0.352,0.126,2,5.2,1.874,2,5.4,2.069,2,5.0,1.570,2,1.5,0.538,1,9.89
213,3,A,A,Spatial,9,Pool,9/2/2023,10:32,22.2,7.064,0.319,0.159,4,9.9,2.950,2,5.1,1.854,1,1.7,0.492,2,5.5,1.768,1,12.66
214,3,A,A,Spatial,10,Pool,9/2/2023,10:33,2.8,0.894,0.321,0.844,0,0.0,0.000,0,0.0,0.000,1,1.3,0.371,1,1.5,0.524,1,0.14
215,4,A,A,Spatial,9,Pool,9/2/2023,10:34,5.2,1.301,0.252,0.693,0,0.0,0.000,0,0.0,0.000,2,2.0,0.434,2,3.1,0.867,1,0.38
216,4,A,A,Spatial,10,Pool,9/2/2023,10:34,8.8,2.705,0.308,0.343,0,0.0,0.000,1,2.0,0.599,1,6.8,2.106,0,0.0,0.000,1,2.28
217,5,A,A,Spatial,9,Pool,9/2/2023,10:35,2.2,0.785,0.360,0.906,0,0.0,0.000,0,0.0,0.000,1,0.8,0.289,1,1.4,0.497,1,0.16
218,5,A,A,Spatial,10,Pool,9/2/2023,10:35,3.3,1.163,0.351,0.587,0,0.0,0.000,1,2.2,0.796,1,1.1,0.368,0,0.0,0.000,1,0.74
219,6,A,A,Spatial,9,Pool,9/2/2023,10:35,11.5,4.132,0.358,0.240,2,5.7,2.155,2,1.9,0.580,2,2.5,0.810,2,1.5,0.587,1,5.06
220,6,A,A,Spatial,10,Pool,9/2/2023,10:36,4.1,1.325,0.324,0.762,0,0.0,0.000,0,0.0,0.000,1,1.3,0.408,1,2.8,0.917,1,0.83
221,7,A,A,Spatial,9,Pool,9/2/2023,10:36,2.3,0.871,0.378,0.929,0,0.0,0.000,1,1.6,0.627,1,0.7,0.244,0,0.0,0.000,1,0.15
222,7,A,A,Spatial,10,Pool,9/2/2023,10:36,2.2,0.812,0.366,0.955,0,0.0,0.000,0,0.0,0.000,1,0.5,0.199,1,1.7,0.613,1,0.15
223,8,A,A,Spatial,9,Pool,9/2/2023,10:37,2.9,0.951,0.333,0.996,1,1.1,0.297,0,0.0,0.000,1,0.8,0.274,1,0.9,0.381,1,0.14
224,8,A,A,Spatial,10,Pool,9/2/2023,10:37,7.1,2.281,0.320,0.443,1,4.6,1.453,1,0.7,0.271,1,1.9,0.557,0,0.0,0.000,1,3.20
225,9,A,A,Spatial,9,Pool,9/2/2023,10:39,7.6,2.670,0.354,0.352,1,0.2,0.090,2,1.7,0.642,1,5.7,1.938,0,0.0,0.000,1,1.26
226,9,A,A,Spatial,10,Pool,9/2/2023,10:40,27.9,9.386,0.337,0.051,1,0.7,0.153,1,1.1,0.360,6,12.4,4.492,4,13.7,4.381,1,10.24
227,10,A,A,Spatial,9,Pool,9/2/2023,10:40,7.2,1.590,0.221,0.621,1,0.9,0.160,0,0.0,0.000,1,1.2,0.273,1,5.0,1.157,1,1.23
228,10,A,A,Spatial,10,Pool,9/2/2023,10:41,8.1,1.901,0.233,0.551,1,0.8,0.122,2,5.2,1.287,2,2.0,0.458,1,0.2,0.034,1,1.93
229,11,A,A,Spatial,9,Pool,9/2/2023,10:41,4.7,1.279,0.272,0.821,1,3.2,0.902,0,0.0,0.000,1,1.3,0.326,1,0.2,0.051,1,0.86
230,11,A,A,Spatial,10,Pool,9/2/2023,10:42,12.5,3.811,0.306,0.221,0,0.0,0.000,0,0.0,0.000,2,4.9,1.420,2,7.5,2.391,1,4.02
231,12,A,A,Spatial,9,Pool,9/2/2023,10:43,4.1,1.206,0.295,0.834,0,0.0,0.000,1,3.0,0.884,1,1.1,0.322,0,0.0,0.000,1,0.90
232,12,A,A,Spatial,10,Pool,9/2/2023,10:43,2.3,0.759,0.328,0.938,0,0.0,0.000,0,0.0,0.000,1,0.8,0.222,1,1.5,0.537,1,0.09
233,13,A,A,Spatial,9,Pool,9/2/2023,10:44,5.5,1.868,0.340,0.515,0,0.0,0.000,1,4.8,1.639,1,0.7,0.230,0,0.0,0.000,1,1.75
234,13,A,A,Spatial,10,Pool,9/2/2023,10:45,3.6,1.394,0.383,0.893,1,1.6,0.693,0,0.0,0.000,1,0.8,0.229,1,1.2,0.472,1,0.29
235,14,A,A,Spatial,9,Pool,9/2/2023,10:46,8.9,2.469,0.279,0.412,1,0.5,0.109,0,0.0,0.000,2,4.7,1.266,3,3.7,1.094,1,1.35
236,14,A,A,Spatial,10,Pool,9/2/2023,10:46,0.5,0.035,0.073,1.000,0,0.0,0.000,0,0.0,0.000,1,0.5,0.035,0,0.0,0.000,1,0.01
237,15,A,A,Spatial,9,Pool,9/2/2023,10:47,10.5,3.603,0.345,0.314,0,0.0,0.000,1,2.7,0.890,2,4.7,1.652,1,3.1,1.061,1,4.04
238,15,A,A,Spatial,10,Pool,9/2/2023,10:48,3.5,1.119,0.323,0.669,0,0.0,0.000,1,2.5,0.815,1,0.9,0.304,0,0.0,0.000,1,0.85
239,16,A,A,Spatial,9,Pool,9/2/2023,10:51,60.0,15.352,0.256,0.106,5,47.7,11.774,4,9.3,2.546,1,0.4,0.073,1,2.5,0.959,0,55.80
240,16,A,A,Spatial,10,Pool,9/2/2023,10:53,41.6,10.406,0.250,0.074,2,5.2,1.577,4,13.7,3.193,4,16.4,3.981,2,6.2,1.655,1,20.17
241,17,A,A,Spatial,9,Pool,9/2/2023,10:55,3.8,0.905,0.241,0.842,0,0.0,0.000,0,0.0,0.000,1,0.9,0.253,1,2.8,0.652,1,0.58
242,17,A,A,Spatial,10,Pool,9/2/2023,10:55,7.5,2.726,0.365,0.291,1,1.7,0.673,1,2.7,0.953,1,1.1,0.294,1,2.0,0.806,1,3.84
243,18,A,A,Spatial,9,Pool,9/2/2023,10:57,5.0,1.501,0.300,0.757,1,1.3,0.392,0,0.0,0.000,1,2.3,0.521,1,1.5,0.588,1,0.29
244,18,A,A,Spatial,10,Pool,9/2/2023,10:57,6.8,2.013,0.298,0.421,0,0.0,0.000,0,0.0,0.000,2,4.4,1.093,2,2.3,0.920,1,0.56
245,19,A,A,Spatial,9,Pool,9/2/2023,10:58,6.4,1.617,0.252,0.427,0,0.0,0.000,0,0.0,0.000,1,4.7,1.190,1,1.7,0.426,1,1.46
246,19,A,A,Spatial,10,Pool,9/2/2023,10:58,2.5,0.680,0.273,0.913,0,0.0,0.000,1,0.6,0.060,1,1.9,0.619,0,0.0,0.000,1,0.21
247,20,A,A,Spatial,9,Pool,9/2/2023,10:59,4.7,1.228,0.263,0.763,0,0.0,0.000,0,0.0,0.000,1,1.6,0.282,1,3.1,0.946,1,0.45
248,20,A,A,Spatial,10,Pool,9/2/2023,11:00,4.7,1.076,0.231,0.357,0,0.0,0.000,1,1.7,0.370,2,2.9,0.706,0,0.0,0.000,1,1.04
249,21,A,A,Spatial,9,Pool,9/2/2023,11:00,11.7,4.225,0.360,0.219,0,0.0,0.000,1,1.6,0.542,2,4.5,1.803,1,5.6,1.880,1,5.23
250,21,A,A,Spatial,10,Pool,9/2/2023,11:01,8.0,2.182,0.272,0.564,1,2.8,0.851,0,0.0,0.000,2,4.7,1.192,2,0.6,0.139,1,1.03
251,22,A,A,Spatial,9,Pool,9/2/2023,11:03,22.2,7.009,0.315,0.171,0,0.0,0.000,2,4.7,1.675,4,15.1,4.787,2,2.4,0.547,1,6.71
252,22,A,A,Spatial,10,Pool,9/2/2023,11:03,7.9,2.572,0.324,0.403,1,3.2,1.122,1,1.9,0.740,1,0.9,0.265,1,1.9,0.444,1,4.94
253,23,A,A,Spatial,9,Pool,9/2/2023,11:04,3.7,1.262,0.338,0.897,0,0.0,0.000,0,0.0,0.000,1,0.9,0.268,1,2.8,0.995,1,0.45
254,23,A,A,Spatial,10,Pool,9/2/2023,11:05,7.4,2.442,0.329,0.413,1,2.1,0.765,1,1.7,0.591,1,0.7,0.207,1,2.9,0.880,1,3.32
255,24,A,A,Spatial,9,Pool,9/2/2023,11:07,8.6,2.438,0.283,0.457,0,0.0,0.000,0,0.0,0.000,1,4.1,1.194,1,4.5,1.244,1,2.49
256,24,A,A,Spatial,10,Pool,9/2/2023,11:07,1.9,0.497,0.259,0.973,0,0.0,0.000,0,0.0,0.000,1,1.9,0.497,0,0.0,0.000,1,0.03
257,25,A,A,Spatial,9,Pool,9/2/2023,11:08,9.7,3.521,0.364,0.331,2,2.6,0.830,2,2.7,1.036,2,1.3,0.490,1,3.1,1.165,1,4.12
258,25,A,A,Spatial,10,Pool,9/2/2023,11:08,10.6,3.601,0.338,0.210,0,0.0,0.000,0,0.0,0.000,2,8.5,2.848,2,2.1,0.753,1,2.37
259,26,A,A,Spatial,9,Pool,9/2/2023,11:10,4.2,1.406,0.337,0.730,0,0.0,0.000,1,1.8,0.576,1,2.4,0.830,0,0.0,0.000,1,0.52
260,26,A,A,Spatial,10,Pool,9/2/2023,11:10,13.3,4.762,0.359,0.215,2,2.7,1.015,2,2.5,0.949,2,5.2,1.872,2,2.8,0.926,1,5.01
261,1,A,A,Spatial,11,Pool,9/2/2023,11:13,55.3,18.969,0.343,0.064,3,6.3,2.398,3,4.4,1.466,7,28.4,9.141,7,16.2,5.964,1,23.64
262,1,A,A,Spatial,12,Pool,9/2/2023,11:15,4.3,1.173,0.275,0.848,1,2.7,0.745,0,0.0,0.000,1,1.2,0.333,1,0.4,0.095,1,0.50
263,2,A,A,Spatial,11,Pool,9/2/2023,11:15,60.0,22.015,0.367,0.067,5,16.5,5.433,4,8.8,3.354,5,18.2,6.819,5,16.5,6.409,0,39.75
264,2,A,A,Spatial,12,Pool,9/2/2023,11:17,13.4,4.294,0.321,0.173,2,7.7,2.476,0,0.0,0.000,1,1.1,0.286,3,4.6,1.532,1,8.61
265,3,A,A,Spatial,11,Pool,9/2/2023,11:17,2.9,0.942,0.323,0.927,0,0.0,0.000,1,1.7,0.540,1,1.2,0.402,0,0.0,0.000,1,0.16
266,3,A,A,Spatial,12,Pool,9/2/2023,11:17,2.6,0.896,0.347,0.711,0,0.0,0.000,0,0.0,0.000,1,1.8,0.702,1,0.7,0.193,1,0.38
267,4,A,A,Spatial,11,Pool,9/2/2023,11:18,5.2,1.458,0.280,0.692,0,0.0,0.000,1,3.9,1.115,1,1.3,0.342,0,0.0,0.000,1,1.31
268,4,A,A,Spatial,12,Pool,9/2/2023,11:19,3.5,1.216,0.352,0.774,0,0.0,0.000,0,0.0,0.000,1,1.6,0.534,1,1.8,0.682,1,0.46
269,5,A,A,Spatial,11,Pool,9/2/2023,11:19,11.4,4.376,0.385,0.287,1,3.0,1.012,1,0.7,0.317,2,5.3,2.114,1,2.4,0.934,1,4.09
270,5,A,A,Spatial,12,Pool,9/2/2023,11:19,4.2,1.610,0.383,0.693,1,2.0,0.839,0,0.0,0.000,1,0.9,0.266,1,1.2,0.505,1,0.92
271,6,A,A,Spatial,11,Pool,9/2/2023,11:20,16.5,4.949,0.299,0.200,1,1.2,0.349,1,1.5,0.505,2,10.6,3.022,2,3.2,1.073,1,4.73
272,6,A,A,Spatial,12,Pool,9/2/2023,11:21,6.8,2.098,0.311,0.300,0,0.0,0.000,1,1.7,0.477,1,5.1,1.621,0,0.0,0.000,1,1.03
273,7,A,A,Spatial,11,Pool,9/2/2023,11:22,5.2,1.497,0.286,0.720,1,1.0,0.251,1,1.2,0.481,1,3.0,0.765,0,0.0,0.000,1,0.27
274,7,A,A,Spatial,12,Pool,9/2/2023,11:22,8.3,2.833,0.342,0.329,0,0.0,0.000,0,0.0,0.000,1,6.0,1.944,1,2.3,0.888,1,1.29
275,8,A,A,Spatial,11,Pool,9/2/2023,11:22,29.8,8.732,0.293,0.025,1,1.1,0.235,1,4.5,1.478,4,13.7,4.196,3,10.5,2.823,1,12.17
276,8,A,A,Spatial,12,Pool,9/2/2023,11:23,7.8,2.445,0.312,0.171,1,1.7,0.549,1,0.3,0.103,2,3.8,1.232,1,2.0,0.562,1,2.67
277,9,A,A,Spatial,11,Pool,9/2/2023,11:26,3.7,1.365,0.372,0.788,1,0.8,0.271,0,0.0,0.000,1,1.2,0.297,1,1.6,0.797,1,0.31
278,9,A,A,Spatial,12,Pool,9/2/2023,11:26,15.0,4.900,0.327,0.143,1,0.2,0.052,1,0.5,0.222,2,9.5,3.087,2,4.7,1.539,1,3.73
279,10,A,A,Spatial,11,Pool,9/2/2023,11:26,10.3,2.422,0.236,0.444,1,0.9,0.186,0,0.0,0.000,2,2.7,0.561,2,6.7,1.675,1,2.08
280,10,A,A,Spatial,12,Pool,9/2/2023,11:27,2.9,0.728,0.249,0.762,0,0.0,0.000,0,0.0,0.000,1,2.9,0.728,0,0.0,0.000,1,0.06
281,11,A,A,Spatial,11,Pool,9/2/2023,11:27,2.9,0.756,0.259,0.884,0,0.0,0.000,0,0.0,0.000,1,1.1,0.232,1,1.8,0.524,1,0.08
282,11,A,A,Spatial,12,Pool,9/2/2023,11:27,4.2,1.141,0.269,0.686,0,0.0,0.000,1,1.8,0.552,1,2.4,0.589,0,0.0,0.000,1,0.38
283,12,A,A,Spatial,11,Pool,9/2/2023,11:29,8.2,3.091,0.376,0.351,0,0.0,0.000,1,2.2,0.874,2,5.4,2.016,1,0.5,0.201,1,1.61
284,12,A,A,Spatial,12,Pool,9/2/2023,11:29,5.8,1.939,0.335,0.367,0,0.0,0.000,1,1.9,0.631,1,3.9,1.308,0,0.0,0.000,1,1.11
285,13,A,A,Spatial,11,Pool,9/2/2023,11:30,3.0,1.221,0.410,0.906,1,1.0,0.341,0,0.0,0.000,1,0.5,0.188,1,1.5,0.692,1,0.26
286,13,A,A,Spatial,12,Pool,9/2/2023,11:30,7.8,3.086,0.394,0.277,1,1.3,0.638,1,1.9,0.765,1,4.5,1.682,0,0.0,0.000,1,2.78
287,14,A,A,Spatial,11,Pool,9/2/2023,11:31,4.7,1.330,0.286,0.877,1,2.4,0.736,0,0.0,0.000,1,1.5,0.321,1,0.8,0.273,1,0.41
288,14,A,A,Spatial,12,Pool,9/2/2023,11:31,2.3,0.559,0.247,0.869,0,0.0,0.000,0,0.0,0.000,1,2.2,0.559,0,0.0,0.000,1,0.21
289,15,A,A,Spatial,11,Pool,9/2/2023,11:32,9.9,3.860,0.390,0.310,0,0.0,0.000,1,2.4,0.878,2,4.3,1.687,1,3.2,1.295,1,3.94
290,15,A,A,Spatial,12,Pool,9/2/2023,11:32,3.9,1.250,0.321,0.564,0,0.0,0.000,1,3.1,0.989,1,0.8,0.261,0,0.0,0.000,1,1.30
291,16,A,A,Spatial,11,Pool,9/2/2023,11:35,22.1,5.006,0.227,0.184,0,0.0,0.000,1,2.1,0.645,2,18.0,3.806,1,1.9,0.555,1,5.75
292,16,A,A,Spatial,12,Pool,9/2/2023,11:36,9.6,2.501,0.261,0.397,1,0.8,0.333,1,1.4,0.417,1,7.2,1.682,1,0.2,0.069,1,1.34
293,17,A,A,Spatial,11,Pool,9/2/2023,11:37,4.1,1.574,0.383,0.690,0,0.0,0.000,0,0.0,0.000,1,1.6,0.495,1,2.5,1.079,1,0.83
294,17,A,A,Spatial,12,Pool,9/2/2023,11:37,2.2,0.632,0.293,0.938,0,0.0,0.000,0,0.0,0.000,1,2.1,0.632,0,0.0,0.000,1,0.08
295,18,A,A,Spatial,11,Pool,9/2/2023,11:38,3.2,1.274,0.400,0.895,1,1.8,0.770,0,0.0,0.000,1,0.7,0.204,1,0.7,0.300,1,0.33
296,18,A,A,Spatial,12,Pool,9/2/2023,11:38,4.7,1.550,0.328,0.693,0,0.0,0.000,0,0.0,0.000,1,1.7,0.527,1,3.0,1.023,1,1.09
297,19,A,A,Spatial,11,Pool,9/2/2023,11:39,3.3,1.013,0.310,0.943,0,0.0,0.000,0,0.0,0.000,1,0.9,0.246,1,2.3,0.767,1,0.10
298,19,A,A,Spatial,12,Pool,9/2/2023,11:39,3.2,0.811,0.252,0.728,0,0.0,0.000,0,0.0,0.000,1,3.2,0.811,0,0.0,0.000,1,0.10
299,20,A,A,Spatial,11,Pool,9/2/2023,11:40,5.2,1.380,0.268,0.744,1,2.0,0.531,0,0.0,0.000,1,1.1,0.287,1,2.1,0.562,1,0.66
300,20,A,A,Spatial,12,Pool,9/2/2023,11:40,8.5,2.006,0.237,0.420,1,1.6,0.326,1,0.8,0.247,2,1.4,0.338,2,4.7,1.095,1,2.35
301,21,A,A,Spatial,11,Pool,9/2/2023,11:41,3.8,1.279,0.333,0.816,0,0.0,0.000,0,0.0,0.000,1,1.5,0.328,1,2.4,0.951,1,0.11
302,21,A,A,Spatial,12,Pool,9/2/2023,11:41,4.7,1.256,0.267,0.572,0,0.0,0.000,1,1.1,0.051,1,3.6,1.205,0,0.0,0.000,1,0.86
303,22,A,A,Spatial,11,Pool,9/2/2023,11:42,23.9,7.311,0.306,0.130,1,4.9,1.458,3,8.2,2.598,3,8.4,2.643,1,2.3,0.612,1,12.73
304,22,A,A,Spatial,12,Pool,9/2/2023,11:43,8.8,3.072,0.350,0.195,1,0.5,0.203,1,3.2,1.097,1,2.0,0.650,1,3.1,1.122,1,3.50
305,23,A,A,Spatial,11,Pool,9/2/2023,11:43,9.1,3.067,0.338,0.263,1,2.4,0.876,1,2.1,0.738,1,1.1,0.334,1,3.5,1.118,1,5.14
306,23,A,A,Spatial,12,Pool,9/2/2023,11:44,2.9,0.833,0.291,0.803,0,0.0,0.000,0,0.0,0.000,1,0.7,0.184,1,2.2,0.649,1,0.42
307,24,A,A,Spatial,11,Pool,9/2/2023,11:44,60.0,17.354,0.289,0.026,6,23.2,6.871,5,19.0,5.354,3,5.6,1.803,3,12.3,3.325,0,43.67
308,24,A,A,Spatial,12,Pool,9/2/2023,11:46,3.8,1.277,0.338,0.686,0,0.0,0.000,0,0.0,0.000,1,1.9,0.579,1,1.9,0.698,1,0.60
309,25,A,A,Spatial,11,Pool,9/2/2023,11:47,7.4,2.575,0.349,0.411,0,0.0,0.000,0,0.0,0.000,1,5.1,1.641,1,2.3,0.934,1,1.56
310,25,A,A,Spatial,12,Pool,9/2/2023,11:47,5.0,1.547,0.311,0.315,0,0.0,0.000,0,0.0,0.000,1,5.0,1.547,0,0.0,0.000,1,1.04
311,26,A,A,Spatial,11,Pool,9/2/2023,11:47,6.3,2.141,0.339,0.519,1,3.8,1.237,1,1.5,0.652,1,1.1,0.253,0,0.0,0.000,1,3.36
312,26,A,A,Spatial,12,Pool,9/2/2023,11:48,11.3,3.575,0.317,0.247,0,0.0,0.000,0,0.0,0.000,2,8.0,2.461,2,3.2,1.114,1,2.71
313,1,A,A,Probe,1,Pool,9/2/2023,12:06,60.0,17.891,0.298,0.061,3,5.6,1.636,4,9.1,2.832,7,31.3,8.920,4,13.0,4.155,2,25.55
314,2,A,A,Probe,1,Pool,9/2/2023,12:07,60.0,20.199,0.337,0.056,4,14.1,4.309,6,16.4,5.248,6,19.5,6.884,4,10.0,3.758,0,37.15
315,3,A,A,Probe,1,Pool,9/2/2023,12:09,60.0,17.980,0.300,0.053,0,0.0,0.000,3,6.4,2.011,13,44.5,13.321,3,5.6,1.586,7,14.87
316,4,A,A,Probe,1,Pool,9/2/2023,12:10,60.0,15.320,0.255,0.083,1,3.5,1.004,3,19.5,4.354,4,31.6,7.844,2,5.5,2.119,0,26.45
317,5,A,A,Probe,1,Pool,9/2/2023,12:12,60.0,17.245,0.287,0.042,1,2.5,0.973,3,10.5,3.340,12,33.2,9.062,6,11.5,3.215,6,17.12
318,6,A,A,Probe,1,Pool,9/2/2023,12:13,60.0,16.700,0.278,0.075,1,5.3,1.765,3,6.3,2.126,10,42.2,11.229,2,3.1,0.753,5,16.18
319,7,A,A,Probe,1,Pool,9/2/2023,12:15,60.0,19.059,0.318,0.018,1,5.3,1.660,5,12.4,3.142,16,28.9,10.060,5,10.8,3.179,8,23.40
320,8,A,A,Probe,1,Pool,9/2/2023,12:16,60.0,19.192,0.320,0.011,2,3.1,1.067,3,6.4,2.044,9,31.9,9.854,5,17.0,5.665,4,23.75
321,9,A,A,Probe,1,Pool,9/2/2023,12:17,60.0,21.249,0.354,0.024,3,5.5,2.272,5,10.3,3.638,14,29.7,10.361,6,11.5,3.860,7,22.19
322,10,A,A,Probe,1,Pool,9/2/2023,12:19,60.0,16.292,0.272,0.012,1,1.5,0.417,5,9.9,2.581,10,41.6,11.431,2,4.4,1.093,5,17.76
323,11,A,A,Probe,1,Pool,9/2/2023,12:20,60.0,18.411,0.307,0.019,3,6.1,2.165,5,17.1,5.326,10,27.3,7.624,5,8.2,2.884,4,25.82
