Track_ID,_TargetID,_Day,_Trial,_Arena,Strain,Probe,strategy,name,confidence,1,2,3,4,5,6,7,8,9,path.length,total.time,velocity,distance.from.goal,distance.from.old.goal,initial.heading.error,initial.trajectory.error,initial.reversal.error,efficiency,roaming.entropy,latency.to.goal,latency.to.old.goal,time.in.wall.zone,time.in.far.wall.zone,time.in.annulus.zone,time.in.goal.zone,time.in.old.goal.zone,time.in.n.quadrant,time.in.e.quadrant,time.in.s.quadrant,time.in.w.quadrant,goal.crossings,old.goal.crossings,CIPL_Scores
Track_1,1,1,1,Arena_Base,OVX,FALSE,1,thigmotaxis,0.690769231,0.690769231,0.015384615,0.16,0.063076923,0.063076923,0.006153846,0,0,0.001538462,3840.055065,59.425,75.45985446,253.541803,,87.08675104,297.03116,,0,0.81268768,,,53.04463158,3.002526316,1.125947368,0,,25.89678947,7.756526316,7.381210526,17.63984211,0,,
Track_2,1,1,2,Arena_Base,OVX,FALSE,1,thigmotaxis,0.598461538,0.598461538,0.027692308,0.256923077,0.052307692,0.061538462,0.001538462,0,0,0.001538462,4017.365102,59.307,76.92233355,213.4499701,,128.9613511,283.8852376,,0,0.869540202,,,40.78920253,8.007696203,3.378246835,0,,22.64676582,14.51394937,5.880651899,16.01539241,0,,
Track_3,2,1,1,Arena_Base,OVX,FALSE,7,corrected path,0.493846154,0,0.007692308,0.003076923,0.070769231,0.009230769,0.229230769,0.493846154,0.18,0.006153846,229.119411,3.249,69.83345109,100.574641,,26.34340934,89.44232113,,31.57894737,0.599718742,,,0,0.580178571,1.160357143,0,,0,0,0.928285714,2.320714286,0,,0.64
Track_4,2,1,2,Arena_Base,OVX,FALSE,7,corrected path,0.415384615,0.018461538,0.015384615,0.023076923,0.027692308,0.04,0.403076923,0.415384615,0.052307692,0.004615385,492.8582671,8.751,56.36817475,143.0008838,,59.80524277,176.7181968,,0,0.64613815,8.623,,6.750771429,1.625185714,0.375042857,0.250028571,,0,5.625642857,3.125357143,0,1,,3.52
Track_5,3,1,1,Arena_Base,OVX,FALSE,1,thigmotaxis,0.616923077,0.616923077,0.013846154,0.281538462,0.021538462,0.063076923,0.003076923,0,0,0,4737.14887,59.297,90.90821238,181.3196768,,34.93651162,86.14415265,,0,0.879723272,,,49.4968682,4.589935146,1.860784519,0,,15.38248536,13.39764854,14.39006695,16.00274686,0,,
Track_6,3,1,2,Arena_Base,OVX,FALSE,7,corrected path,0.535384615,0,0.006153846,0.001538462,0.018461538,0.004615385,0.193846154,0.535384615,0.24,0,332.4587918,4.192,90.49461979,49.88772344,,3.303484076,55.08327338,,84.61538462,0.642900677,4.192,,1.197714286,1.557028571,1.437257143,0.119771429,,0,0.8384,3.3536,0,1,,0.7
Track_7,4,1,1,Arena_Base,OVX,FALSE,1,thigmotaxis,0.690769231,0.690769231,0.027692308,0.172307692,0.047692308,0.053846154,0.006153846,0,0,0.001538462,3657.39652,59.375,68.70454739,154.6680069,,95.49303657,191.7575606,,0,0.845708267,,,45.33195021,7.144709544,3.20280083,0,,18.35451245,20.81820539,16.50674274,3.695539419,0,,
Track_8,4,1,2,Arena_Base,OVX,FALSE,6,directed search,0.293846154,0.112307692,0.035384615,0.083076923,0.232307692,0.206153846,0.293846154,0.030769231,0.001538462,0.004615385,1436.569925,21.181,73.33748351,118.215274,,44.47391371,64.03983193,,0,0.816060847,21.181,,14.07985549,5.631942197,1.469202312,0.122433526,,0,4.774907514,9.672248555,6.733843931,1,,10.71
Track_9,5,1,1,Arena_Base,OVX,FALSE,1,thigmotaxis,0.552307692,0.552307692,0.026153846,0.216923077,0.124615385,0.067692308,0.010769231,0,0,0.001538462,3132.129002,57.988,50.00291667,177.1470169,,81.46174428,162.2568798,,0,0.80655104,57.988,,49.41586087,5.67273913,2.8994,0.12606087,,6.807286957,37.31401739,6.681226087,7.185469565,1,,43.21
Track_10,5,1,2,Arena_Base,OVX,FALSE,4,scanning,0.350769231,0.033846154,0.026153846,0.047692308,0.350769231,0.149230769,0.323076923,0.058461538,0.003076923,0.007692308,1288.346,16.619,87.91067436,113.0861192,,55.03167443,250.3751967,,21.05263158,0.793887224,16.619,,8.491459854,5.094875912,1.213065693,0.121306569,,0,9.825832117,5.944021898,0.849145985,1,,7.92
Track_11,6,1,1,Arena_Base,OVX,FALSE,1,thigmotaxis,0.407692308,0.407692308,0.029230769,0.229230769,0.175384615,0.124615385,0.029230769,0.003076923,0,0.001538462,2411.240656,38.813,68.75909031,129.8471927,,96.18247659,129.362673,,7.407407407,0.835502787,38.693,,27.39018671,6.878253165,2.947822785,0.245651899,,6.755427215,14.00215823,15.59889557,2.456518987,1,,23.91
Track_12,6,1,2,Arena_Base,OVX,FALSE,1,thigmotaxis,0.443076923,0.443076923,0.087692308,0.158461538,0.135384615,0.098461538,0.072307692,0.001538462,0,0.003076923,3033.634957,59.31,54.30319564,78.36566105,,39.37858793,173.2379725,,13.04347826,0.789124297,,,42.6290625,9.39075,5.931,0,,2.9655,3.954,44.235375,8.155125,0,,
Track_13,7,1,1,Arena_Base,OVX,FALSE,1,thigmotaxis,0.618461538,0.618461538,0.047692308,0.104615385,0.112307692,0.056923077,0.043076923,0.004615385,0,0.012307692,3053.595175,58.739,45.06588424,258.6022777,,73.48051529,277.1591153,,5,0.770030401,,,55.18674946,1.522393089,1.014928726,0,,34.76130886,13.44780562,3.55225054,6.723902808,0,,
Track_14,7,1,2,Arena_Base,OVX,FALSE,1,thigmotaxis,0.712307692,0.712307692,0.010769231,0.187692308,0.038461538,0.049230769,0.001538462,0,0,0,3687.310261,59.371,69.22692308,184.0074986,,81.27254902,143.0980084,,3.225806452,0.86769979,,,46.10726596,7.073991489,2.905389362,0,,21.47461702,12.12684255,9.474095745,16.29544468,0,,
Track_15,8,1,1,Arena_Base,OVX,FALSE,1,thigmotaxis,0.575384615,0.575384615,0.029230769,0.167692308,0.076923077,0.1,0.044615385,0.003076923,0,0.003076923,3180.97655,59.372,47.61964489,158.8835238,,59.07953929,111.8922473,,0,0.826018144,,,51.43920668,2.726897704,1.859248434,0,,11.4033904,16.9811357,18.71643424,12.27103967,0,,
Track_16,8,1,2,Arena_Base,OVX,FALSE,1,thigmotaxis,0.587692308,0.587692308,0.038461538,0.213846154,0.089230769,0.049230769,0.018461538,0,0,0.003076923,3073.333126,59.362,47.99487953,144.4378633,,19.34896532,77.7924767,,21.05263158,0.804602784,,,51.55447182,4.461444676,0.99143215,0,,4.709302714,30.48653862,22.55508142,0.743574113,0,,
Track_17,9,1,1,Arena_Base,OVX,FALSE,1,thigmotaxis,0.501538462,0.501538462,0.009230769,0.206153846,0.101538462,0.144615385,0.035384615,0.001538462,0,0,2610.762038,37.123,78.79409064,198.0425203,,70.79055046,126.0198953,,0,0.856098896,37.123,,27.06626756,6.207859532,3.600558528,0.124157191,,13.03650502,3.352244147,10.05673244,10.67751839,1,,28.27
Track_18,9,1,2,Arena_Base,OVX,FALSE,7,corrected path,0.498461538,0.009230769,0.009230769,0.007692308,0.035384615,0.006153846,0.158461538,0.498461538,0.273846154,0.001538462,159.9839439,2.688,57.52811104,55.4389024,,37.34504479,62.12489049,,0,0.54542554,2.688,,1.869913043,0.584347826,0.23373913,0.116869565,,0,0,2.688,0,1,,0.42
Track_19,10,1,1,Arena_Base,OVX,FALSE,1,thigmotaxis,0.676923077,0.676923077,0.010769231,0.209230769,0.044615385,0.047692308,0.009230769,0.001538462,0,0,3576.052364,59.356,60.06656129,176.8820413,,70.55910164,169.0122898,,3.333333333,0.826499873,,,52.17278981,3.276552017,1.76429724,0,,9.70363482,20.54146072,9.073528662,19.78533333,0,,
Track_20,10,1,2,Arena_Base,OVX,FALSE,6,directed search,0.278461538,0.184615385,0.041538462,0.064615385,0.156923077,0.210769231,0.278461538,0.055384615,0,0.007692308,1426.065936,19.309,83.33252802,182.9601614,,59.92999864,133.8458386,,0,0.79189141,19.309,,15.54750649,3.009194805,0.752298701,0.125383117,,5.767623377,9.152967532,4.388409091,0,1,,14.82
Track_21,11,1,1,Arena_Base,OVX,FALSE,1,thigmotaxis,0.613846154,0.613846154,0.029230769,0.232307692,0.053846154,0.06,0.010769231,0,0,0,4260.219927,57.741,82.8701209,249.2325868,,60.46307068,265.1839175,,5.128205128,0.838011768,57.741,,52.32778125,3.866584821,0.386658482,0.128886161,,26.16389063,8.635372768,10.8264375,10.95532366,1,,50.17
Track_22,11,1,2,Arena_Base,OVX,FALSE,1,thigmotaxis,0.710769231,0.710769231,0.012307692,0.143076923,0.067692308,0.053846154,0.006153846,0,0,0.006153846,3974.106996,59.311,76.56407687,230.2040807,,41.03521793,181.3409386,,14.81481481,0.852155935,,,43.73699562,6.8785186,4.931768053,0,,27.77364114,4.801984683,3.244584245,23.23122319,0,,
Track_23,12,1,1,Arena_Base,OVX,FALSE,6,directed search,0.398461538,0.066153846,0.069230769,0.032307692,0.164615385,0.203076923,0.398461538,0.06,0.001538462,0.004615385,1070.680185,20.684,49.45138199,111.0621752,,106.5062915,251.3661972,,0,0.747601897,20.684,,15.35438037,2.411018405,1.776539877,0.126895706,,2.030331288,9.136490798,9.517177914,0,1,,10.23
Track_24,12,1,2,Arena_Base,OVX,FALSE,1,thigmotaxis,0.324615385,0.324615385,0.036923077,0.08,0.189230769,0.186153846,0.152307692,0.02,0,0.010769231,1529.063628,22.128,79.12477694,233.8537456,,117.1136659,297.850805,,7.692307692,0.797385443,,,15.59018182,3.394636364,1.634454545,0,,12.447,6.789272727,1.508727273,1.383,0,,19.04
Track_25,13,1,1,Arena_Base,OVX,FALSE,1,thigmotaxis,0.544615385,0.544615385,0.016923077,0.247692308,0.072307692,0.112307692,0.006153846,0,0,0,3283.080111,43.811,86.53789267,129.2997614,,83.14169951,81.82935709,,0,0.859442095,43.811,,31.69037752,5.934054755,3.03015562,0.126256484,,3.408925072,9.595492795,13.88821326,16.41334294,1,,26.51
Track_26,13,1,2,Arena_Base,OVX,FALSE,1,thigmotaxis,0.583076923,0.583076923,0.009230769,0.303076923,0.041538462,0.056923077,0.004615385,0.001538462,0,0,3890.664944,59.245,76.92233355,158.0746712,,57.05157935,84.90240283,,0,0.855449993,,,52.06378788,5.514145022,1.410595238,0,,8.976515152,16.54243506,20.64598485,12.82359307,0,,
Track_27,14,1,1,Arena_Base,SHAM,FALSE,6,directed search,0.350769231,0.121538462,0.067692308,0.033846154,0.064615385,0.161538462,0.350769231,0.192307692,0.006153846,0.001538462,751.880299,14.366,33.3125,260.0384103,,99.8181523,267.9198201,,0,0.673135387,14.366,,12.50832759,1.114603448,0.743068966,0.123844828,,9.412206897,3.839189655,1.114603448,0,1,,12.01
