Track_ID,_TargetID,_Day,_Trial,_Arena,Strain,Probe,strategy,name,confidence,1,2,3,4,5,6,7,8,9,path.length,total.time,velocity,distance.from.goal,distance.from.old.goal,initial.heading.error,initial.trajectory.error,initial.reversal.error,efficiency,roaming.entropy,latency.to.goal,latency.to.old.goal,time.in.wall.zone,time.in.far.wall.zone,time.in.annulus.zone,time.in.goal.zone,time.in.old.goal.zone,time.in.n.quadrant,time.in.e.quadrant,time.in.s.quadrant,time.in.w.quadrant,goal.crossings,old.goal.crossings,CIPL_Scores
Track_601,1,5,26,Arena_Reversal,OVX,FALSE,4,scanning,0.423076923,0.012307692,0.015384615,0.072307692,0.423076923,0.307692308,0.055384615,0.001538462,0,0.112307692,3625.782873,47.699,77.25210622,189.544631,91.1236151,22.5381922,88.1406707,111.7913242,30,0.883955798,47.699,30.369,18.23785294,11.86098128,7.907320856,0.127537433,1.530449198,5.229034759,18.87554011,20.53352674,3.060898396,1,3,35.47
Track_602,1,5,27,Arena_Reversal,OVX,FALSE,4,scanning,0.386153846,0.003076923,0.004615385,0.021538462,0.386153846,0.272307692,0.264615385,0.012307692,0.003076923,0.032307692,1619.881787,17.941,92.25,148.5751563,113.4249285,107.5836553,248.4544104,207.9590178,0,0.858133909,17.941,12.741,2.949205479,4.300924658,6.635712329,0.122883562,0.245767123,2.826321918,2.580554795,4.423808219,8.110315068,1,1,10.89
Track_603,2,5,26,Arena_Reversal,OVX,FALSE,4,scanning,0.32,0.287692308,0.112307692,0.092307692,0.32,0.087692308,0.04,0.004615385,0,0.055384615,3369.211915,59.644,52.90483836,235.9969117,117.5732625,122.6882319,199.1243456,134.9529548,0,0.798883371,,49.644,44.44062745,8.706204793,4.807904139,0,0.51977342,0,35.21464924,24.42935076,0,0,1,
Track_604,2,5,27,Arena_Reversal,OVX,FALSE,4,scanning,0.336923077,0.08,0.012307692,0.22,0.336923077,0.218461538,0.015384615,0,0,0.116923077,4692.183492,59.572,89.61171697,198.089736,92.00619477,69.52784032,128.1372278,70.34421648,0,0.886156764,,6.512,28.19826013,14.09913006,8.510285714,0,0.889134328,8.891343284,10.03451599,31.88181663,8.764324094,0,2,
Track_605,3,5,26,Arena_Reversal,OVX,FALSE,9,perseverance,0.526153846,0.004615385,0.029230769,0.021538462,0.3,0.092307692,0.024615385,0.001538462,0,0.526153846,4094.278816,59.662,72.71909091,218.6241971,67.45734215,38.32962984,204.1329029,71.86931614,17.64705882,0.840785124,,2.495,22.71005161,19.5024172,12.95884301,0,1.924580645,0,2.309496774,45.29179785,12.06070538,0,6,
Track_606,3,5,27,Arena_Reversal,OVX,FALSE,4,scanning,0.392307692,0.135384615,0.052307692,0.136923077,0.392307692,0.155384615,0.004615385,0,0,0.123076923,4454.575123,59.572,84.96975457,222.3546162,94.485832,89.55697401,282.1860169,85.20514107,3.333333333,0.860898302,,4.401,33.89441379,15.40655172,3.72325,0,0.513551724,3.338086207,17.71753448,35.04990517,3.466474138,0,2,
Track_607,4,5,26,Arena_Reversal,OVX,FALSE,4,scanning,0.467692308,0.041538462,0.023076923,0.067692308,0.467692308,0.247692308,0.116923077,0.003076923,0,0.032307692,2317.640501,36.242,63.39279514,200.0521309,120.1926521,56.83536736,176.5101867,46.00526117,0,0.818591118,36.242,,19.59373145,9.988961131,5.250607774,0.128063604,0,2.689335689,20.49017668,13.06248763,0,1,0,29.19
Track_608,4,5,27,Arena_Reversal,OVX,FALSE,4,scanning,0.449230769,0.012307692,0.018461538,0.075384615,0.449230769,0.324615385,0.066153846,0,0,0.053846154,3015.337361,42.931,74.32254511,187.0374257,110.6046919,54.53538905,218.4957049,65.02531071,12.19512195,0.857306863,42.931,5.857,19.15185329,10.53994611,6.555332335,0.128535928,0.128535928,5.655580838,19.92306886,15.68138323,1.670967066,1,1,29.69
Track_609,5,5,26,Arena_Reversal,OVX,FALSE,6,directed search,0.481538462,0,0.010769231,0,0.161538462,0.092307692,0.481538462,0.215384615,0.012307692,0.026153846,607.6916307,10.221,56.81201864,180.6989546,92.4141815,16.16695814,210.2459942,151.0125823,41.02564103,0.715040488,10.221,6.497,0.87252439,3.988682927,2.492926829,0.124646341,0.623231707,1.246463415,3.864036585,5.1105,0,1,1,5.16
Track_610,5,5,27,Arena_Reversal,OVX,FALSE,6,directed search,0.416923077,0.001538462,0.001538462,0.001538462,0.063076923,0.08,0.416923077,0.406153846,0.026153846,0.003076923,810.6065113,9.853,87.42433714,68.3368761,155.7864536,4.554335833,41.23796918,33.84763066,80.76923077,0.754408874,9.853,1.024,2.0937625,1.6011125,2.9559,0.1231625,0.246325,6.0349625,1.47795,2.3400875,0,1,1,1.76
