Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
35,18,NSF,A,Spatial,1,Pool,5/22/2023,60.0,16.642,0.277,0.073,4,19.9,5.438,4,11.9,3.602,3,7.2,2.276,3,21.1,5.326,0,
36,18,NSF,A,Spatial,2,Pool,5/22/2023,60.0,13.042,0.217,0.098,3,18.1,4.285,3,20.1,4.740,1,9.6,1.311,1,12.3,2.706,0,
37,19,NSF,A,Spatial,1,Pool,5/22/2023,33.1,8.710,0.263,0.058,3,19.9,4.331,2,6.0,1.606,1,3.2,1.339,1,4.0,1.435,1,17.26
38,19,NSF,A,Spatial,2,Pool,5/22/2023,47.8,12.649,0.264,0.064,4,10.9,3.220,1,3.5,1.280,2,2.3,0.970,5,31.1,7.180,1,32.97
39,20,NSF,A,Spatial,1,Pool,5/22/2023,19.4,5.984,0.308,0.096,3,5.4,1.728,1,2.3,1.123,1,4.5,1.257,2,7.2,1.876,1,12.95
40,20,NSF,A,Spatial,2,Pool,5/22/2023,60.0,16.197,0.270,0.019,4,13.2,4.224,4,18.8,4.841,2,18.3,4.143,3,9.8,2.989,0,
41,21,NSF,A,Spatial,1,Pool,5/22/2023,60.0,11.688,0.195,0.079,2,7.3,1.945,1,0.5,0.206,4,25.9,4.527,5,26.3,5.010,0,
42,21,NSF,A,Spatial,2,Pool,5/22/2023,27.1,8.851,0.326,0.133,3,15.3,4.648,3,6.6,2.172,1,2.7,1.053,1,2.5,0.978,1,11.70
43,22,NSF,A,Spatial,1,Pool,5/22/2023,60.0,16.134,0.269,0.058,1,5.3,1.421,3,5.7,2.095,5,32.0,7.991,3,16.9,4.626,0,
44,22,NSF,A,Spatial,2,Pool,5/22/2023,6.5,1.950,0.298,0.420,1,1.1,0.275,0,0.0,0.000,0,0.0,0.000,1,5.5,1.675,1,2.88
45,23,NSF,A,Spatial,1,Pool,5/22/2023,60.0,20.790,0.347,0.056,4,11.7,4.133,5,18.2,6.022,6,18.2,6.570,5,11.8,4.064,0,
46,23,NSF,A,Spatial,2,Pool,5/22/2023,60.0,16.158,0.269,0.002,3,10.4,3.847,2,6.1,2.041,5,23.1,4.862,5,20.4,5.408,0,
47,24,NSF,A,Spatial,1,Pool,5/22/2023,5.8,0.642,0.110,0.752,1,5.8,0.642,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.38
48,24,NSF,A,Spatial,2,Pool,5/22/2023,60.0,17.650,0.294,0.094,4,15.2,5.262,3,10.1,2.548,3,8.7,2.567,5,26.0,7.274,0,
49,25,NSF,A,Spatial,1,Pool,5/22/2023,60.0,15.048,0.251,0.039,4,14.1,3.080,2,4.7,1.734,3,7.6,2.360,6,33.6,7.874,0,
50,25,NSF,A,Spatial,2,Pool,5/22/2023,20.8,5.101,0.245,0.219,2,16.4,3.467,1,2.3,0.856,0,0.0,0.000,1,2.1,0.777,1,5.58
51,26,NSF,A,Spatial,1,Pool,5/22/2023,60.0,15.308,0.255,0.049,4,22.3,5.530,3,8.1,2.669,3,6.8,1.859,4,22.8,5.250,0,
52,26,NSF,A,Spatial,2,Pool,5/22/2023,60.0,15.881,0.265,0.080,3,32.5,7.023,3,7.7,2.531,2,7.2,2.503,3,12.5,3.824,0,
53,27,NSF,A,Spatial,1,Pool,5/22/2023,13.9,1.851,0.133,0.675,1,0.5,0.216,0,0.0,0.000,1,11.9,0.969,1,1.5,0.667,1,9.19
54,27,NSF,A,Spatial,2,Pool,5/22/2023,12.1,3.647,0.302,0.257,1,2.3,0.661,0,0.0,0.000,1,2.9,1.212,2,6.9,1.774,1,6.79
