Track_ID,_TargetID,_Day,_Trial,_Arena,Strain,Probe,strategy,name,confidence,1,2,3,4,5,6,7,8,9,path.length,total.time,velocity,distance.from.goal,distance.from.old.goal,initial.heading.error,initial.trajectory.error,initial.reversal.error,efficiency,roaming.entropy,latency.to.goal,latency.to.old.goal,time.in.wall.zone,time.in.far.wall.zone,time.in.annulus.zone,time.in.goal.zone,time.in.old.goal.zone,time.in.n.quadrant,time.in.e.quadrant,time.in.s.quadrant,time.in.w.quadrant,goal.crossings,old.goal.crossings,CIPL_Scores
Track_751,1,5,26,Arena_Reversal_6m,SHAM,FALSE,4,scanning,0.318461538,0.084615385,0.064615385,0.24,0.318461538,0.236923077,0.009230769,0,0,0.046153846,4374.944313,59.629,78.15625,194.8079902,125.2981185,32.17871065,139.721717,59.26768518,4.545454545,0.881056128,,5.392,30.83379915,14.14277564,6.625444444,0,1.019299145,7.772155983,21.53269444,22.93423077,7.389918803,0,3,
Track_752,1,5,27,Arena_Reversal_6m,SHAM,FALSE,4,scanning,0.458461538,0.104615385,0.030769231,0.112307692,0.458461538,0.186153846,0.02,0,0,0.087692308,4471.975531,59.65,80.7639727,227.0042708,93.62452567,49.10799747,222.0657924,34.1315042,9.090909091,0.869748977,,14.45,32.44346895,16.98811563,6.641970021,0,0.383190578,3.704175589,14.81670236,34.35942184,6.769700214,0,1,
Track_753,2,5,26,Arena_Reversal_6m,SHAM,FALSE,4,scanning,0.406153846,0.033846154,0.018461538,0.1,0.406153846,0.310769231,0.081538462,0,0,0.049230769,2549.912632,35.938,76.91819372,192.8772507,101.5875814,71.42787253,140.5705624,137.9052578,0,0.844440392,35.938,,17.07055,10.0113,7.31595,0.12835,0,3.97885,12.70665,16.4288,2.8237,1,0,27.95
Track_754,2,5,27,Arena_Reversal_6m,SHAM,FALSE,7,corrected path,0.473846154,0.004615385,0.001538462,0.009230769,0.033846154,0.021538462,0.275384615,0.473846154,0.176923077,0.003076923,377.9630044,3.6,110.6343466,100.6136453,220.1902129,39.2418469,124.555811,288.7308125,0,0.654239929,3.6,,2.28,0.48,0.84,0.12,0,2.28,0,0,1.32,1,0,0.68
Track_755,3,5,26,Arena_Reversal_6m,SHAM,FALSE,6,directed search,0.423076923,0,0.009230769,0.006153846,0.404615385,0.104615385,0.423076923,0.033846154,0.004615385,0.013846154,1348.380069,18.3,78.547656,106.6459515,128.6756064,21.00339039,125.6585896,144.4363618,24,0.79613097,18.3,,1.351006711,2.210738255,8.84295302,0.122818792,0,2.456375839,2.087919463,2.579194631,11.29932886,1,0,7.04
Track_756,3,5,27,Arena_Reversal_6m,SHAM,FALSE,6,directed search,0.495384615,0,0.009230769,0.004615385,0.156923077,0.101538462,0.495384615,0.209230769,0.007692308,0.015384615,884.8285383,11.363,77.94034391,126.9730568,87.23211917,67.57563967,169.5048466,117.8636038,0,0.766506836,11.363,,0.362648936,2.055010638,4.230904255,0.120882979,0,2.175893617,0.241765957,3.868255319,5.077085106,1,0,5.35
Track_757,4,5,26,Arena_Reversal_6m,SHAM,FALSE,4,scanning,0.375384615,0.12,0.046153846,0.081538462,0.375384615,0.12,0.023076923,0.001538462,0,0.232307692,4109.431875,59.647,77.3408028,231.0452311,74.46161111,34.33081588,63.83228729,217.7380017,11.11111111,0.844837727,,12.047,32.00884267,16.9685431,5.913280172,0,0.899846983,4.627784483,8.227172414,43.32120474,3.470838362,0,2,
Track_758,4,5,27,Arena_Reversal_6m,SHAM,FALSE,1,thigmotaxis,0.612307692,0.612307692,0.033846154,0.138461538,0.127692308,0.061538462,0.007692308,0,0,0.018461538,3768.007632,59.633,71.17819161,249.1838692,87.59004524,59.85096274,260.9199504,83.36083043,0,0.838774084,,,42.16997397,10.08974837,5.174229935,0,0,4.527451193,6.079720174,38.41865727,10.60717137,0,0,
Track_759,5,5,26,Arena_Reversal_6m,SHAM,FALSE,4,scanning,0.346153846,0.003076923,0.030769231,0.041538462,0.346153846,0.176923077,0.075384615,0,0,0.326153846,2673.54292,38.864,70.79401165,177.6228051,72.58115377,19.16347434,208.8946577,74.87599449,37.5,0.851300745,,13.134,11.104,11.35636364,8.075636364,0,0.883272727,1.640363636,1.009454545,20.06290909,16.15127273,0,2,27.66
Track_760,5,5,27,Arena_Reversal_6m,SHAM,FALSE,4,scanning,0.387692308,0.004615385,0.007692308,0.013846154,0.387692308,0.190769231,0.321538462,0.015384615,0.001538462,0.056923077,1428.155315,17.969,83.51098354,140.1008366,93.39773147,24.45100518,187.3007009,39.60854729,16.66666667,0.823589352,17.969,4.64,2.230634483,3.469875862,7.435448276,0.123924138,0.371772414,2.726331034,6.815827586,7.683296552,0.743544828,1,1,9.42
