Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
141,7,A,A,Spatial,17,Pool,19.8,6.580,0.332,0.173,2,6.4,2.092,1,2.6,1.004,1,6.0,1.881,2,4.8,1.603,1,19.8,10.3,0.162,9.98
142,7,A,A,Spatial,18,Pool,7.3,2.401,0.329,0.445,1,1.2,0.359,1,2.9,1.051,1,3.2,0.991,0,0.0,0.000,1,7.3,5.1,0.398,4.00
143,8,A,A,Spatial,17,Pool,60.0,15.776,0.263,0.089,3,23.9,5.357,2,7.7,2.528,4,17.8,4.761,4,10.5,3.129,0,,30.4,,
144,8,A,A,Spatial,18,Pool,19.7,4.828,0.245,0.202,3,8.5,1.978,2,6.2,1.481,1,3.1,0.786,2,1.9,0.583,1,19.6,11.5,0.171,6.67
145,1,A,A,Spatial,19,Pool,60.0,12.720,0.212,0.025,2,15.6,3.629,4,21.0,3.973,3,16.7,2.853,2,6.8,2.266,0,,29.1,,
146,1,A,A,Spatial,20,Pool,59.9,12.382,0.207,0.086,5,28.5,5.104,3,15.5,2.557,2,4.2,0.960,3,11.7,3.761,1,59.9,34.5,0.078,28.29
147,2,A,A,Spatial,19,Pool,49.6,10.411,0.210,0.101,5,22.8,4.445,5,17.0,3.393,1,7.2,1.649,1,2.5,0.923,1,49.5,27.3,0.096,23.97
148,2,A,A,Spatial,20,Pool,3.1,0.836,0.271,0.946,1,1.1,0.250,1,2.0,0.586,0,0.0,0.000,0,0.0,0.000,1,3.1,2.5,0.901,0.11
149,3,A,A,Spatial,19,Pool,7.2,1.979,0.276,0.267,1,3.9,1.101,0,0.0,0.000,0,0.0,0.000,1,3.3,0.878,1,7.2,4.4,0.243,1.86
150,3,A,A,Spatial,20,Pool,1.3,0.253,0.198,0.972,1,1.3,0.253,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,1.3,0.8,0.900,0.03
151,4,A,A,Spatial,19,Pool,38.0,8.476,0.223,0.113,3,10.8,2.094,5,16.8,4.052,2,10.4,2.329,0,0.0,0.000,1,38.0,23.2,0.108,23.76
152,4,A,A,Spatial,20,Pool,16.5,4.863,0.295,0.243,2,5.1,1.687,1,2.7,1.003,1,5.0,1.026,1,3.7,1.146,1,16.5,10.5,0.226,8.71
153,5,A,A,Spatial,19,Pool,31.0,8.834,0.285,0.066,3,14.0,3.771,3,14.5,4.112,1,1.3,0.487,1,1.2,0.463,1,31.0,17.7,0.065,12.13
154,5,A,A,Spatial,20,Pool,5.4,1.584,0.295,0.724,1,2.0,0.565,1,1.2,0.403,1,2.1,0.617,0,0.0,0.000,1,5.3,4.4,0.670,0.79
155,6,A,A,Spatial,19,Pool,30.6,7.739,0.253,0.169,2,13.2,3.058,1,2.7,0.879,2,6.4,1.760,2,8.3,2.041,1,30.5,17.6,0.153,15.69
156,6,A,A,Spatial,20,Pool,15.3,7.024,0.460,0.125,3,3.2,2.095,1,4.1,1.247,1,1.9,0.676,3,6.0,3.007,1,15.2,7.9,0.124,7.63
157,7,A,A,Spatial,19,Pool,10.6,2.943,0.277,0.176,2,1.5,0.283,1,2.8,0.836,1,4.5,1.107,1,1.8,0.716,1,10.6,6.4,0.124,7.29
158,7,A,A,Spatial,20,Pool,60.0,16.371,0.273,0.051,3,24.7,5.948,3,14.3,3.936,5,9.4,2.877,5,11.6,3.610,0,,30.9,,
159,8,A,A,Spatial,19,Pool,15.1,3.763,0.249,0.146,1,3.6,0.728,2,4.0,1.397,1,7.5,1.638,0,0.0,0.000,1,15.1,8.9,0.111,10.07
160,8,A,A,Spatial,20,Pool,39.7,9.886,0.249,0.113,3,17.4,3.404,2,7.2,2.404,2,8.6,2.049,2,6.5,2.029,1,39.6,22.2,0.106,23.24
161,1,A,A,Spatial,21,Pool,31.2,8.348,0.268,0.117,2,6.1,1.725,2,6.0,2.141,2,14.0,2.947,1,5.1,1.536,1,31.2,16.7,0.099,24.30
162,1,A,A,Spatial,22,Pool,14.4,3.334,0.232,0.359,1,10.5,2.193,1,3.8,1.141,0,0.0,0.000,0,0.0,0.000,1,14.3,8.7,0.320,3.16
163,2,A,A,Spatial,21,Pool,60.0,16.724,0.279,0.090,3,12.3,3.917,4,10.8,3.208,4,18.0,4.693,4,18.9,4.907,0,,30.9,,
164,2,A,A,Spatial,22,Pool,6.5,1.563,0.240,0.538,2,4.1,0.871,2,2.4,0.692,0,0.0,0.000,0,0.0,0.000,1,6.5,4.6,0.454,1.55
165,3,A,A,Spatial,21,Pool,22.0,5.732,0.260,0.099,3,4.0,0.794,2,3.2,1.012,2,6.0,1.419,4,8.8,2.507,1,22.0,11.8,0.085,9.41
166,3,A,A,Spatial,22,Pool,1.7,0.327,0.189,0.929,1,1.2,0.287,1,0.5,0.039,0,0.0,0.000,0,0.0,0.000,1,1.7,1.1,0.846,0.06
167,4,A,A,Spatial,21,Pool,26.8,6.879,0.257,0.154,3,12.0,2.779,1,4.1,1.160,1,6.7,1.718,3,3.9,1.222,1,26.8,15.7,0.147,11.24
168,4,A,A,Spatial,22,Pool,31.0,7.322,0.237,0.081,2,12.3,2.956,2,11.5,2.150,1,2.4,0.859,1,4.8,1.357,1,30.9,15.3,0.075,15.83
169,5,A,A,Spatial,21,Pool,13.1,3.934,0.300,0.229,2,5.9,1.690,1,1.2,0.356,1,0.7,0.265,2,5.3,1.623,1,13.1,9.2,0.192,3.66
170,5,A,A,Spatial,22,Pool,17.4,4.695,0.270,0.215,2,9.1,2.622,3,7.1,1.632,1,1.2,0.441,0,0.0,0.000,1,17.4,10.6,0.193,6.43
171,6,A,A,Spatial,21,Pool,49.2,15.912,0.324,0.026,4,10.0,3.385,5,13.9,4.230,5,11.2,3.740,4,14.0,4.557,1,49.1,26.8,0.018,32.42
172,6,A,A,Spatial,22,Pool,14.0,5.053,0.360,0.098,2,4.1,1.445,1,3.1,1.159,1,3.5,1.305,2,3.4,1.144,1,14.0,8.0,0.094,9.11
173,7,A,A,Spatial,21,Pool,21.7,5.881,0.271,0.224,2,9.1,2.350,1,4.0,1.033,2,4.2,1.011,2,4.4,1.487,1,21.7,13.4,0.201,8.18
174,7,A,A,Spatial,22,Pool,16.6,5.235,0.315,0.126,2,8.3,2.603,1,1.6,0.563,1,1.1,0.356,2,5.6,1.713,1,16.6,9.2,0.108,6.85
175,8,A,A,Spatial,21,Pool,15.0,4.493,0.300,0.183,2,4.8,1.391,2,3.9,1.085,1,2.1,0.619,1,4.1,1.397,1,15.0,8.4,0.179,7.20
176,8,A,A,Spatial,22,Pool,3.4,1.145,0.338,0.897,1,1.5,0.435,0,0.0,0.000,0,0.0,0.000,1,1.9,0.710,1,3.4,2.8,0.774,0.14
177,1,A,A,Spatial,23,Pool,5.0,1.724,0.342,0.734,1,1.1,0.269,1,2.4,0.920,1,1.6,0.535,0,0.0,0.000,1,5.0,4.4,0.709,1.32
178,1,A,A,Spatial,24,Pool,16.6,4.660,0.281,0.078,2,7.6,1.914,1,3.1,1.098,1,5.1,1.310,1,0.8,0.338,1,16.6,9.6,0.051,9.68
179,2,A,A,Spatial,23,Pool,41.0,9.354,0.228,0.079,3,20.6,4.123,3,11.3,2.635,2,1.9,0.612,2,7.2,1.984,1,41.0,20.5,0.065,19.04
180,2,A,A,Spatial,24,Pool,6.1,1.384,0.226,0.797,1,0.9,0.239,1,3.9,1.046,1,1.3,0.098,0,0.0,0.000,1,6.1,5.0,0.793,1.81
181,3,A,A,Spatial,23,Pool,7.5,2.042,0.274,0.230,2,3.5,0.832,1,3.9,1.210,0,0.0,0.000,0,0.0,0.000,1,7.4,4.7,0.186,2.48
182,3,A,A,Spatial,24,Pool,4.0,1.432,0.357,0.930,1,1.3,0.342,1,0.9,0.441,1,1.7,0.649,0,0.0,0.000,1,4.0,3.6,0.837,0.22
183,4,A,A,Spatial,23,Pool,12.7,4.044,0.317,0.181,1,2.3,0.682,1,3.5,1.260,1,4.8,1.385,1,2.2,0.716,1,12.7,8.9,0.145,9.60
184,4,A,A,Spatial,24,Pool,12.5,3.834,0.306,0.320,2,2.8,0.776,0,0.0,0.000,1,6.2,1.813,2,3.5,1.245,1,12.5,8.3,0.296,5.97
185,5,A,A,Spatial,23,Pool,19.2,5.843,0.305,0.176,3,8.7,2.561,2,6.4,1.935,0,0.0,0.000,1,4.1,1.347,1,19.2,10.4,0.152,6.65
186,5,A,A,Spatial,24,Pool,3.8,0.981,0.257,0.909,1,1.9,0.434,1,1.9,0.547,0,0.0,0.000,0,0.0,0.000,1,3.8,3.1,0.803,0.15
187,6,A,A,Spatial,23,Pool,15.8,5.159,0.326,0.129,2,3.2,0.926,2,4.9,1.758,1,3.9,1.252,1,3.8,1.223,1,15.8,7.8,0.110,10.61
188,6,A,A,Spatial,24,Pool,16.0,5.381,0.337,0.170,2,4.3,1.409,3,5.4,1.757,2,5.2,1.834,1,1.1,0.381,1,16.0,8.2,0.146,8.77
189,7,A,A,Spatial,23,Pool,3.2,1.098,0.338,0.855,1,0.8,0.259,1,2.4,0.840,0,0.0,0.000,0,0.0,0.000,1,3.2,2.8,0.841,0.48
190,7,A,A,Spatial,24,Pool,9.8,2.804,0.286,0.465,1,3.9,1.056,1,0.8,0.321,1,5.1,1.427,0,0.0,0.000,1,9.8,7.3,0.407,4.04
191,8,A,A,Spatial,23,Pool,12.2,3.910,0.321,0.260,1,1.1,0.316,1,0.9,0.355,2,3.5,1.152,1,6.7,2.087,1,12.2,6.8,0.228,6.00
192,8,A,A,Spatial,24,Pool,2.3,0.647,0.283,0.842,1,1.3,0.346,1,0.9,0.301,0,0.0,0.000,0,0.0,0.000,1,2.3,1.7,0.755,0.05
193,1,A,A,Probe,1,Pool,60.0,11.157,0.186,0.124,5,37.9,5.773,4,16.7,3.986,2,1.6,0.348,1,3.1,0.873,1,3.1,29.3,0.858,0.39
194,2,A,A,Probe,1,Pool,60.0,13.380,0.223,0.125,6,30.7,5.838,3,14.1,3.551,3,9.5,2.409,3,4.5,1.276,2,14.0,32.0,0.342,4.42
195,3,A,A,Probe,1,Pool,60.0,15.886,0.265,0.082,8,17.2,4.695,8,25.3,6.245,4,11.1,2.921,3,5.6,1.736,2,9.9,30.8,0.453,2.27
196,4,A,A,Probe,1,Pool,60.0,15.948,0.266,0.088,7,29.5,7.211,2,6.1,1.830,3,8.4,2.238,6,15.7,4.622,1,8.7,31.7,0.495,1.37
197,5,A,A,Probe,1,Pool,60.0,17.431,0.291,0.058,9,26.2,7.422,7,18.0,5.283,6,8.0,2.479,5,6.9,2.039,3,8.6,30.1,0.314,2.76
198,6,A,A,Probe,1,Pool,60.0,19.188,0.320,0.029,5,13.6,4.213,5,8.7,2.522,8,18.6,6.252,7,18.7,6.073,1,53.4,28.0,0.053,33.14
199,7,A,A,Probe,1,Pool,60.0,16.235,0.271,0.061,10,20.8,5.528,8,15.1,4.182,5,15.0,3.809,3,7.2,2.179,4,5.1,28.5,0.732,0.87
200,8,A,A,Probe,1,Pool,60.0,15.729,0.262,0.079,6,27.3,6.403,3,12.4,3.325,2,5.6,1.867,3,13.7,3.972,2,11.0,32.8,0.373,4.59
